pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,80151,2945,47404,29802,3.67,2020/03/03 18:46:29
Corea del Sur,5186,28,30,5128,0.54,2020/03/03 18:46:29
Italia,2502,79,160,2263,3.16,2020/03/03 18:46:29
Irán,2336,77,291,1968,3.3,2020/03/03 18:46:29
Crucero Diamond Princess,706,6,10,690,0.85,2020/03/03 18:46:29
Japón,293,6,43,244,2.05,2020/03/03 18:46:29
Francia,204,4,12,188,1.96,2020/03/03 18:46:29
Alemania,196,0,16,180,0,2020/03/03 18:46:29
España,165,1,2,162,0.61,2020/03/03 18:46:29
EEUU,122,7,8,107,5.74,2020/03/03 18:46:29
Singapur,110,0,78,32,0,2020/03/03 18:46:29
Hong Kong,100,2,37,61,2,2020/03/03 18:46:29
Kuwait,56,0,0,56,0,2020/03/03 18:46:29
Suiza,56,0,2,54,0,2020/03/03 18:46:29
Reino Unido,51,0,8,43,0,2020/03/03 18:46:29
Baréin,49,0,0,49,0,2020/03/03 18:46:29
Tailandia,43,1,31,11,2.33,2020/03/03 18:46:29
Taiwán,42,1,12,29,2.38,2020/03/03 18:46:29
Australia,39,1,11,27,2.56,2020/03/03 18:46:29
Malasia,36,0,22,14,0,2020/03/03 18:46:29
Iraq,32,0,0,32,0,2020/03/03 18:46:29
Noruega,32,0,0,32,0,2020/03/03 18:46:29
Canadá,30,0,6,24,0,2020/03/03 18:46:29
Emiratos Árabes Unidos,27,0,5,22,0,2020/03/03 18:46:29
Holanda,24,0,0,24,0,2020/03/03 18:46:29
Austria,21,0,0,21,0,2020/03/03 18:46:29
Suecia,21,0,0,21,0,2020/03/03 18:46:29
Vietnam,16,0,16,0,0,2020/03/03 18:46:29
Bélgica,13,0,1,12,0,2020/03/03 18:46:29
Líbano,13,0,0,13,0,2020/03/03 18:46:29
Israel,12,0,1,11,0,2020/03/03 18:46:29
Omán,12,0,2,10,0,2020/03/03 18:46:29
Islandia,11,0,0,11,0,2020/03/03 18:46:29
Macao,10,0,9,1,0,2020/03/03 18:46:29
San Marino,10,1,0,9,10,2020/03/03 18:46:29
Croacia,9,0,0,9,0,2020/03/03 18:46:29
Ecuador,7,0,0,7,0,2020/03/03 18:46:29
Grecia,7,0,0,7,0,2020/03/03 18:46:29
Qatar,7,0,0,7,0,2020/03/03 18:46:29
Dinamarca,6,0,0,6,0,2020/03/03 18:46:29
Finlandia,6,0,1,5,0,2020/03/03 18:46:29
Argelia,5,0,0,5,0,2020/03/03 18:46:29
India,5,0,3,2,0,2020/03/03 18:46:29
México,5,0,1,4,0,2020/03/03 18:46:29
Pakistán,5,0,0,5,0,2020/03/03 18:46:29
República Checa,5,0,0,5,0,2020/03/03 18:46:29
Azerbaiyán,3,0,0,3,0,2020/03/03 18:46:29
Filipinas,3,1,1,1,33.33,2020/03/03 18:46:29
Georgia,3,0,0,3,0,2020/03/03 18:46:29
Rumania,3,0,0,3,0,2020/03/03 18:46:29
Rusia,3,0,2,1,0,2020/03/03 18:46:29
Brasil,2,0,0,2,0,2020/03/03 18:46:29
Egipto,2,0,1,1,0,2020/03/03 18:46:29
Estonia,2,0,0,2,0,2020/03/03 18:46:29
Indonesia,2,0,0,2,0,2020/03/03 18:46:29
Irlanda,2,0,0,2,0,2020/03/03 18:46:29
Portugal,2,0,0,2,0,2020/03/03 18:46:29
Senegal,2,0,0,2,0,2020/03/03 18:46:29
Afganistán,1,0,0,1,0,2020/03/03 18:46:29
Andorra,1,0,0,1,0,2020/03/03 18:46:29
Arabia Saudita,1,0,0,1,0,2020/03/03 18:46:29
Argentina,1,0,0,1,0,2020/03/03 18:46:29
Armenia,1,0,0,1,0,2020/03/03 18:46:29
Bielorrusia,1,0,0,1,0,2020/03/03 18:46:29
Camboya,1,0,1,0,0,2020/03/03 18:46:29
Chile,1,0,0,1,0,2020/03/03 18:46:29
Jordan,1,0,0,1,0,2020/03/03 18:46:29
Letonia,1,0,0,1,0,2020/03/03 18:46:29
Lituania,1,0,0,1,0,2020/03/03 18:46:29
Luxemburgo,1,0,0,1,0,2020/03/03 18:46:29
Macedonia del Norte,1,0,0,1,0,2020/03/03 18:46:29
Marruecos,1,0,0,1,0,2020/03/03 18:46:29
Monaco,1,0,0,1,0,2020/03/03 18:46:29
Nepal,1,0,1,0,0,2020/03/03 18:46:29
Nigeria,1,0,0,1,0,2020/03/03 18:46:29
Nueva Zelanda,1,0,0,1,0,2020/03/03 18:46:29
República Dominicana,1,0,0,1,0,2020/03/03 18:46:29
Sri Lanka,1,0,1,0,0,2020/03/03 18:46:29
Ucrania,1,0,0,1,0,2020/03/03 18:46:29
