pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,79251,2835,39279,37137,3.58,2020/02/29 18:15:51
Corea del Sur,3150,16,27,3107,0.51,2020/02/29 18:15:51
Italia,1128,29,46,1053,2.57,2020/02/29 18:15:51
Crucero Diamond Princess,705,6,10,689,0.85,2020/02/29 18:15:51
Irán,593,43,123,427,7.25,2020/02/29 18:15:51
Japón,241,5,32,204,2.07,2020/02/29 18:15:51
Singapur,102,0,72,30,0,2020/02/29 18:15:51
Francia,100,2,12,86,2,2020/02/29 18:15:51
Hong Kong,95,2,33,60,2.11,2020/02/29 18:15:51
Alemania,79,0,16,63,0,2020/02/29 18:15:51
EEUU,70,1,7,62,1.43,2020/02/29 18:15:51
España,45,0,2,43,0,2020/02/29 18:15:51
Kuwait,45,0,0,45,0,2020/02/29 18:15:51
Tailandia,42,0,28,14,0,2020/02/29 18:15:51
Baréin,41,0,0,41,0,2020/02/29 18:15:51
Taiwán,39,1,9,29,2.56,2020/02/29 18:15:51
Australia,25,0,11,14,0,2020/02/29 18:15:51
Malasia,25,0,18,7,0,2020/02/29 18:15:51
Reino Unido,23,0,8,15,0,2020/02/29 18:15:51
Emiratos Árabes Unidos,21,0,5,16,0,2020/02/29 18:15:51
Canadá,20,0,6,14,0,2020/02/29 18:15:51
Suiza,18,0,0,18,0,2020/02/29 18:15:51
Vietnam,16,0,16,0,0,2020/02/29 18:15:51
Noruega,15,0,0,15,0,2020/02/29 18:15:51
Iraq,13,0,0,13,0,2020/02/29 18:15:51
Suecia,12,0,0,12,0,2020/02/29 18:15:51
Macao,10,0,8,2,0,2020/02/29 18:15:51
Austria,9,0,0,9,0,2020/02/29 18:15:51
Israel,7,0,1,6,0,2020/02/29 18:15:51
Croacia,6,0,0,6,0,2020/02/29 18:15:51
Holanda,6,0,0,6,0,2020/02/29 18:15:51
Omán,6,0,1,5,0,2020/02/29 18:15:51
Grecia,4,0,0,4,0,2020/02/29 18:15:51
Líbano,4,0,0,4,0,2020/02/29 18:15:51
Mexico,4,0,0,4,0,2020/02/29 18:15:51
Pakistán,4,0,0,4,0,2020/02/29 18:15:51
Dinamarca,3,0,0,3,0,2020/02/29 18:15:51
Filipinas,3,1,1,1,33.33,2020/02/29 18:15:51
Finlandia,3,0,1,2,0,2020/02/29 18:15:51
India,3,0,3,0,0,2020/02/29 18:15:51
Rumania,3,0,0,3,0,2020/02/29 18:15:51
Brasil,2,0,0,2,0,2020/02/29 18:15:51
Rusia,2,0,2,0,0,2020/02/29 18:15:51
Afghanistan,1,0,0,1,0,2020/02/29 18:15:51
Argelia,1,0,0,1,0,2020/02/29 18:15:51
Bélgica,1,0,1,0,0,2020/02/29 18:15:51
Bielorrusia,1,0,0,1,0,2020/02/29 18:15:51
Camboya,1,0,1,0,0,2020/02/29 18:15:51
Egipto,1,0,1,0,0,2020/02/29 18:15:51
Estonia,1,0,0,1,0,2020/02/29 18:15:51
Georgia,1,0,0,1,0,2020/02/29 18:15:51
Irlanda,1,0,0,1,0,2020/02/29 18:15:51
Islandia,1,0,0,1,0,2020/02/29 18:15:51
Lituania,1,0,0,1,0,2020/02/29 18:15:51
Luxemburgo,1,0,0,1,0,2020/02/29 18:15:51
Macedonia del Norte,1,0,0,1,0,2020/02/29 18:15:51
Monaco,1,0,0,1,0,2020/02/29 18:15:51
Nepal,1,0,1,0,0,2020/02/29 18:15:51
Nigeria,1,0,0,1,0,2020/02/29 18:15:51
Nueva Zelanda,1,0,0,1,0,2020/02/29 18:15:51
Qatar,1,0,0,1,0,2020/02/29 18:15:51
San Marino,1,0,0,1,0,2020/02/29 18:15:51
Sri Lanka,1,0,1,0,0,2020/02/29 18:15:51
