pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,80652,3070,55478,22104,3.81,2020/03/07 18:48:58
Corea del Sur,7041,44,135,6862,0.62,2020/03/07 18:48:58
Italia,5883,233,589,5061,3.96,2020/03/07 18:48:58
Irán,5823,145,1669,4009,2.49,2020/03/07 18:48:58
Francia,949,11,12,926,1.16,2020/03/07 18:48:58
Alemania,799,0,18,781,0,2020/03/07 18:48:58
Crucero Diamond Princess,696,6,40,650,0.86,2020/03/07 18:48:58
España,500,10,30,460,2,2020/03/07 18:48:58
Japón,461,6,76,379,1.3,2020/03/07 18:48:58
EEUU,417,17,8,392,4.08,2020/03/07 18:48:58
Suiza,268,1,3,264,0.37,2020/03/07 18:48:58
Reino Unido,206,2,18,186,0.97,2020/03/07 18:48:58
Holanda,188,1,0,187,0.53,2020/03/07 18:48:58
Bélgica,169,0,1,168,0,2020/03/07 18:48:58
Suecia,161,0,0,161,0,2020/03/07 18:48:58
Noruega,147,0,0,147,0,2020/03/07 18:48:58
Singapur,138,0,78,60,0,2020/03/07 18:48:58
Hong Kong,108,2,51,55,1.85,2020/03/07 18:48:58
Malasia,93,0,23,70,0,2020/03/07 18:48:58
Baréin,85,0,4,81,0,2020/03/07 18:48:58
Austria,79,0,0,79,0,2020/03/07 18:48:58
Australia,63,2,21,40,3.17,2020/03/07 18:48:58
Kuwait,61,0,0,61,0,2020/03/07 18:48:58
Canadá,54,0,8,46,0,2020/03/07 18:48:58
Iraq,54,4,0,50,7.41,2020/03/07 18:48:58
Islandia,50,0,0,50,0,2020/03/07 18:48:58
Tailandia,50,1,31,18,2,2020/03/07 18:48:58
Grecia,46,0,0,46,0,2020/03/07 18:48:58
Emiratos Árabes Unidos,45,0,7,38,0,2020/03/07 18:48:58
Taiwán,45,1,12,32,2.22,2020/03/07 18:48:58
India,34,0,3,31,0,2020/03/07 18:48:58
Dinamarca,23,0,1,22,0,2020/03/07 18:48:58
