pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion,
Afganistán,16,0,0,16,0,2020-03-16T02:49:24Z,
Macedonia del Norte,14,0,1,13,0,2020-03-16T02:49:24Z,
Maldivas,13,0,0,13,0,2020-03-16T02:49:24Z,
Lituania,12,0,1,11,0,2020-03-16T02:49:24Z,
República Dominicana,11,0,0,11,0,2020-03-16T02:49:24Z,
Bolivia,10,0,0,10,0,2020-03-16T02:49:24Z,
Jamaica,10,0,0,10,0,2020-03-16T02:49:24Z,
Venezuela,10,0,0,10,0,2020-03-16T02:49:24Z,
Kazajistán,9,0,0,9,0,2020-03-16T02:49:24Z,
Martinica,9,0,0,9,0,2020-03-16T02:49:24Z,
Jordania,8,0,1,7,0,2020-03-16T02:49:24Z,
Nueva Zelanda,8,0,0,8,0,2020-03-16T02:49:24Z,
Camboya,7,0,1,6,0,2020-03-16T02:49:24Z,
Reunion,7,0,0,7,0,2020-03-16T02:49:24Z,
Ghana,6,0,0,6,0,2020-03-16T02:49:24Z,
Paraguay,6,0,0,6,0,2020-03-16T02:49:24Z,
Turquía,6,0,0,6,0,2020-03-16T02:49:24Z,
Bangladesh,5,0,0,5,0,2020-03-16T02:49:24Z,
Cuba,4,0,0,4,0,2020-03-16T02:49:24Z,
Guyana,4,1,0,3,25,2020-03-16T02:49:24Z,
Liechtenstein,4,0,0,4,0,2020-03-16T02:49:24Z,
Uruguay,4,0,0,4,0,2020-03-16T02:49:24Z,
Burkina Faso,3,0,0,3,0,2020-03-16T02:49:24Z,
Guadalupe,3,0,0,3,0,2020-03-16T02:49:24Z,
Honduras,3,0,0,3,0,2020-03-16T02:49:24Z,
Kenya,3,0,0,3,0,2020-03-16T02:49:24Z,
Ucrania,3,1,0,2,33.33,2020-03-16T02:49:24Z,
Aruba,2,0,0,2,0,2020-03-16T02:49:24Z,
Camerún,2,0,0,2,0,2020-03-16T02:49:24Z,
Jersey,2,0,0,2,0,2020-03-16T02:49:24Z,
Kosovo,2,0,0,2,0,2020-03-16T02:49:24Z,
Mónaco,2,0,0,2,0,2020-03-16T02:49:24Z,
Namibia,2,0,0,2,0,2020-03-16T02:49:24Z,
Nigeria,2,0,0,2,0,2020-03-16T02:49:24Z,
Rep. Dem. del Congo,2,0,0,2,0,2020-03-16T02:49:24Z,
Santa Lucía,2,0,0,2,0,2020-03-16T02:49:24Z,
Seychelles,2,0,0,2,0,2020-03-16T02:49:24Z,
Trinidad y Tobago,2,0,0,2,0,2020-03-16T02:49:24Z,
Andorra,1,0,1,0,0,2020-03-16T02:49:24Z,
Antigua y Barbuda,1,0,0,1,0,2020-03-16T02:49:24Z,
Bután,1,0,0,1,0,2020-03-16T02:49:24Z,
Ciudad del Vaticano,1,0,0,1,0,2020-03-16T02:49:24Z,
Costa de Marfil,1,0,0,1,0,2020-03-16T02:49:24Z,
Curacao,1,0,0,1,0,2020-03-16T02:49:24Z,
Equatorial Guinea,1,0,0,1,0,2020-03-16T02:49:24Z,
Esuatini,1,0,0,1,0,2020-03-16T02:49:24Z,
Etiopía,1,0,0,1,0,2020-03-16T02:49:24Z,
Gabón,1,0,0,1,0,2020-03-16T02:49:24Z,
Guatemala,1,0,0,1,0,2020-03-16T02:49:24Z,
Guernsey,1,0,0,1,0,2020-03-16T02:49:24Z,
Guinea,1,0,0,1,0,2020-03-16T02:49:24Z,
Islas Caimán,1,0,0,1,0,2020-03-16T02:49:24Z,
Mauritania,1,0,0,1,0,2020-03-16T02:49:24Z,
