pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,78824,2788,36291,39745,3.54,2020/02/28 19:20:05
Corea del Sur,2337,13,22,2302,0.56,2020/02/28 19:20:05
Italia,888,21,46,821,2.36,2020/02/28 19:20:05
Crucero Diamond Princess,705,1,10,694,0.14,2020/02/28 19:20:05
Irán,388,34,73,281,8.76,2020/02/28 19:20:05
Japón,228,4,22,202,1.75,2020/02/28 19:20:05
Hong Kong,94,2,30,62,2.13,2020/02/28 19:20:05
Singapur,93,0,62,31,0,2020/02/28 19:20:05
EEUU,62,0,7,55,0,2020/02/28 19:20:05
Francia,57,2,11,44,3.51,2020/02/28 19:20:05
Alemania,48,0,16,32,0,2020/02/28 19:20:05
Kuwait,45,0,0,45,0,2020/02/28 19:20:05
Tailandia,41,0,28,13,0,2020/02/28 19:20:05
Baréin,36,0,0,36,0,2020/02/28 19:20:05
Taiwán,34,1,6,27,2.94,2020/02/28 19:20:05
España,32,0,2,30,0,2020/02/28 19:20:05
Australia,23,0,11,12,0,2020/02/28 19:20:05
Malasia,23,0,18,5,0,2020/02/28 19:20:05
Reino Unido,20,0,8,12,0,2020/02/28 19:20:05
Emiratos Árabes Unidos,19,0,5,14,0,2020/02/28 19:20:05
Vietnam,16,0,16,0,0,2020/02/28 19:20:05
Canadá,14,0,6,8,0,2020/02/28 19:20:05
Macao,10,0,8,2,0,2020/02/28 19:20:05
Suiza,8,0,0,8,0,2020/02/28 19:20:05
Iraq,7,0,0,7,0,2020/02/28 19:20:05
Suecia,7,0,0,7,0,2020/02/28 19:20:05
Noruega,6,0,0,6,0,2020/02/28 19:20:05
Croacia,5,0,0,5,0,2020/02/28 19:20:05
Grecia,4,0,0,4,0,2020/02/28 19:20:05
Israel,4,0,1,3,0,2020/02/28 19:20:05
Omán,4,0,0,4,0,2020/02/28 19:20:05
Austria,3,0,0,3,0,2020/02/28 19:20:05
Filipinas,3,1,1,1,33.33,2020/02/28 19:20:05
India,3,0,3,0,0,2020/02/28 19:20:05
Rumania,3,0,0,3,0,2020/02/28 19:20:05
Finlandia,2,0,1,1,0,2020/02/28 19:20:05
Líbano,2,0,0,2,0,2020/02/28 19:20:05
Pakistán,2,0,0,2,0,2020/02/28 19:20:05
Rusia,2,0,2,0,0,2020/02/28 19:20:05
Afghanistan,1,0,0,1,0,2020/02/28 19:20:05
Argelia,1,0,0,1,0,2020/02/28 19:20:05
Azerbaiyán,1,0,0,1,0,2020/02/28 19:20:05
Bélgica,1,0,1,0,0,2020/02/28 19:20:05
Bielorrusia,1,0,0,1,0,2020/02/28 19:20:05
Brasil,1,0,0,1,0,2020/02/28 19:20:05
Camboya,1,0,1,0,0,2020/02/28 19:20:05
Dinamarca,1,0,0,1,0,2020/02/28 19:20:05
Egipto,1,0,1,0,0,2020/02/28 19:20:05
Estonia,1,0,0,1,0,2020/02/28 19:20:05
Georgia,1,0,0,1,0,2020/02/28 19:20:05
Holanda,1,0,0,1,0,2020/02/28 19:20:05
Irlanda del Norte,1,0,0,1,0,2020/02/28 19:20:05
Islandia,1,0,0,1,0,2020/02/28 19:20:05
Lituania,1,0,0,1,0,2020/02/28 19:20:05
Macedonia del Norte,1,0,0,1,0,2020/02/28 19:20:05
Mexico,1,0,0,1,0,2020/02/28 19:20:05
Nepal,1,0,1,0,0,2020/02/28 19:20:05
Nigeria,1,0,0,1,0,2020/02/28 19:20:05
Nueva Zelanda,1,0,0,1,0,2020/02/28 19:20:05
San Marino,1,0,0,1,0,2020/02/28 19:20:05
Sri Lanka,1,0,1,0,0,2020/02/28 19:20:05
