pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,80945,3180,64196,13569,3.93,2020-03-14T03:24:01Z
Italia,17660,1266,1439,14955,7.17,2020-03-14T03:24:01Z
Irán,11364,514,2959,7891,4.52,2020-03-14T03:24:01Z
Corea del Sur,7979,66,510,7403,0.83,2020-03-14T03:24:01Z
España,5232,133,193,4906,2.54,2020-03-14T03:24:01Z
Alemania,3675,7,46,3622,0.19,2020-03-14T03:24:01Z
Francia,3667,79,12,3576,2.15,2020-03-14T03:24:01Z
EEUU,2133,47,12,2074,2.2,2020-03-14T03:24:01Z
Suiza,1139,11,4,1124,0.97,2020-03-14T03:24:01Z
Noruega,996,0,1,995,0,2020-03-14T03:24:01Z
Suecia,814,1,1,812,0.12,2020-03-14T03:24:01Z
Dinamarca,804,0,1,803,0,2020-03-14T03:24:01Z
Holanda,804,10,0,794,1.24,2020-03-14T03:24:01Z
Reino Unido,801,8,19,774,1,2020-03-14T03:24:01Z
Crucero Diamond Princess,742,7,325,410,0.94,2020-03-14T03:24:01Z
Japón,701,19,118,564,2.71,2020-03-14T03:24:01Z
Bélgica,559,3,1,555,0.54,2020-03-14T03:24:01Z
Austria,504,1,6,497,0.2,2020-03-14T03:24:01Z
Qatar,320,0,0,320,0,2020-03-14T03:24:01Z
Australia,200,3,23,174,1.5,2020-03-14T03:24:01Z
Singapur,200,0,97,103,0,2020-03-14T03:24:01Z
Malasia,197,0,26,171,0,2020-03-14T03:24:01Z
Canadá,193,1,8,184,0.52,2020-03-14T03:24:01Z
Grecia,190,1,0,189,0.53,2020-03-14T03:24:01Z
Baréin,189,0,44,145,0,2020-03-14T03:24:01Z
Israel,161,0,4,157,0,2020-03-14T03:24:01Z
Finlandia,155,0,1,154,0,2020-03-14T03:24:01Z
Brasil,151,0,0,151,0,2020-03-14T03:24:01Z
Eslovenia,141,0,0,141,0,2020-03-14T03:24:01Z
República Checa,141,0,0,141,0,2020-03-14T03:24:01Z
Islandia,134,0,1,133,0,2020-03-14T03:24:01Z
Portugal,112,0,1,111,0,2020-03-14T03:24:01Z
Iraq,101,9,24,68,8.91,2020-03-14T03:24:01Z
Irlanda,90,1,0,89,1.11,2020-03-14T03:24:01Z
Rumania,89,0,7,82,0,2020-03-14T03:24:01Z
Arabia Saudita,86,0,1,85,0,2020-03-14T03:24:01Z
EAU,85,0,17,68,0,2020-03-14T03:24:01Z
India,82,2,4,76,2.44,2020-03-14T03:24:01Z
Egipto,80,2,27,51,2.5,2020-03-14T03:24:01Z
Kuwait,80,0,5,75,0,2020-03-14T03:24:01Z
San Marino,80,5,0,75,6.25,2020-03-14T03:24:01Z
Estonia,79,0,0,79,0,2020-03-14T03:24:01Z
Líbano,77,3,1,73,3.9,2020-03-14T03:24:01Z
Tailandia,75,1,35,39,1.33,2020-03-14T03:24:01Z
Indonesia,69,4,2,63,5.8,2020-03-14T03:24:01Z
Polonia,68,2,0,66,2.94,2020-03-14T03:24:01Z
Filipinas,64,5,2,57,7.81,2020-03-14T03:24:01Z
Taiwán,50,1,20,29,2,2020-03-14T03:24:01Z
Vietnam,47,0,16,31,0,2020-03-14T03:24:01Z
Rusia,45,0,3,42,0,2020-03-14T03:24:01Z
Chile,43,0,0,43,0,2020-03-14T03:24:01Z
Brunei,37,0,0,37,0,2020-03-14T03:24:01Z
Serbia,35,0,0,35,0,2020-03-14T03:24:01Z
Luxemburgo,34,0,0,34,0,2020-03-14T03:24:01Z
Albania,33,1,0,32,3.03,2020-03-14T03:24:01Z
Croacia,32,0,1,31,0,2020-03-14T03:24:01Z
Eslovaquia,32,0,0,32,0,2020-03-14T03:24:01Z
Argentina,31,2,0,29,6.45,2020-03-14T03:24:01Z
Pakistán,28,0,2,26,0,2020-03-14T03:24:01Z
Perú,28,0,0,28,0,2020-03-14T03:24:01Z
Bielorrusia,27,0,3,24,0,2020-03-14T03:24:01Z
Panamá,27,1,0,26,3.7,2020-03-14T03:24:01Z
Argelia,26,2,8,16,7.69,2020-03-14T03:24:01Z
Georgia,25,0,0,25,0,2020-03-14T03:24:01Z
Sudáfrica,24,0,0,24,0,2020-03-14T03:24:01Z
Bulgaria,23,1,0,22,4.35,2020-03-14T03:24:01Z
Costa Rica,23,0,0,23,0,2020-03-14T03:24:01Z
Hungría,19,0,0,19,0,2020-03-14T03:24:01Z
Omán,19,0,9,10,0,2020-03-14T03:24:01Z
Ecuador,17,0,0,17,0,2020-03-14T03:24:01Z
Letonia,17,0,1,16,0,2020-03-14T03:24:01Z
Túnez,16,0,0,16,0,2020-03-14T03:24:01Z
Azerbaiyán,15,1,3,11,6.67,2020-03-14T03:24:01Z
Chipre,14,0,0,14,0,2020-03-14T03:24:01Z
Macedonia del Norte,14,0,1,13,0,2020-03-14T03:24:01Z
Bosnia y Herzegovina,13,0,0,13,0,2020-03-14T03:24:01Z
Colombia,13,0,0,13,0,2020-03-14T03:24:01Z
Malta,12,0,1,11,0,2020-03-14T03:24:01Z
México,12,0,4,8,0,2020-03-14T03:24:01Z
Senegal,10,0,1,9,0,2020-03-14T03:24:01Z
Maldivas,9,0,0,9,0,2020-03-14T03:24:01Z
Armenia,8,0,0,8,0,2020-03-14T03:24:01Z
Jamaica,8,0,0,8,0,2020-03-14T03:24:01Z
Afganistán,7,0,0,7,0,2020-03-14T03:24:01Z
Marruecos,7,1,1,5,14.29,2020-03-14T03:24:01Z
Lituania,6,0,0,6,0,2020-03-14T03:24:01Z
Moldova,6,0,0,6,0,2020-03-14T03:24:01Z
Paraguay,6,0,0,6,0,2020-03-14T03:24:01Z
Sri Lanka,6,0,1,5,0,2020-03-14T03:24:01Z
Camboya,5,0,1,4,0,2020-03-14T03:24:01Z
Guayana Francesa,5,0,0,5,0,2020-03-14T03:24:01Z
Nueva Zelanda,5,0,0,5,0,2020-03-14T03:24:01Z
República Dominicana,5,0,0,5,0,2020-03-14T03:24:01Z
Reunion,5,0,0,5,0,2020-03-14T03:24:01Z
Turquía,5,0,0,5,0,2020-03-14T03:24:01Z
Cuba,4,0,0,4,0,2020-03-14T03:24:01Z
Kazajistán,4,0,0,4,0,2020-03-14T03:24:01Z
Bangladesh,3,0,0,3,0,2020-03-14T03:24:01Z
Bolivia,3,0,0,3,0,2020-03-14T03:24:01Z
Martinica,3,0,0,3,0,2020-03-14T03:24:01Z
Ucrania,3,1,0,2,33.33,2020-03-14T03:24:01Z
Antigua y Barbuda,2,0,0,2,0,2020-03-14T03:24:01Z
Aruba,2,0,0,2,0,2020-03-14T03:24:01Z
Burkina Faso,2,0,0,2,0,2020-03-14T03:24:01Z
Camerún,2,0,0,2,0,2020-03-14T03:24:01Z
Honduras,2,0,0,2,0,2020-03-14T03:24:01Z
Kenya,2,0,0,2,0,2020-03-14T03:24:01Z
Mónaco,2,0,0,2,0,2020-03-14T03:24:01Z
Nigeria,2,0,0,2,0,2020-03-14T03:24:01Z
Rep. Dem. del Congo,2,0,0,2,0,2020-03-14T03:24:01Z
Andorra,1,0,0,1,0,2020-03-14T03:24:01Z
Bután,1,0,0,1,0,2020-03-14T03:24:01Z
Ciudad del Vaticano,1,0,0,1,0,2020-03-14T03:24:01Z
Costa de Marfil,1,0,0,1,0,2020-03-14T03:24:01Z
Etiopía,1,0,0,1,0,2020-03-14T03:24:01Z
Guadalupe,1,0,0,1,0,2020-03-14T03:24:01Z
Guinea,1,0,0,1,0,2020-03-14T03:24:01Z
Guyana,1,1,0,0,100,2020-03-14T03:24:01Z
Islas Caimán,1,0,0,1,0,2020-03-14T03:24:01Z
Jordania,1,0,1,0,0,2020-03-14T03:24:01Z
Liechtenstein,1,0,0,1,0,2020-03-14T03:24:01Z
Mongolia,1,0,0,1,0,2020-03-14T03:24:01Z
Nepal,1,0,1,0,0,2020-03-14T03:24:01Z
Sudan,1,1,0,0,100,2020-03-14T03:24:01Z
Togo,1,0,0,1,0,2020-03-14T03:24:01Z
