pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,80977,3193,65660,12124,3.94,2020-03-14T04:28:21Z
Italia,21157,1441,1966,17750,6.81,2020-03-14T04:28:21Z
Irán,12729,611,2959,9159,4.8,2020-03-14T04:28:21Z
Corea del Sur,8086,72,510,7504,0.89,2020-03-14T04:28:21Z
España,6391,195,517,5679,3.05,2020-03-14T04:28:21Z
Alemania,4585,9,46,4530,0.2,2020-03-14T04:28:21Z
Francia,4480,91,12,4377,2.03,2020-03-14T04:28:21Z
EEUU,2680,54,12,2614,2.01,2020-03-14T04:28:21Z
Suiza,1359,13,4,1342,0.96,2020-03-14T04:28:21Z
Reino Unido,1143,21,19,1103,1.84,2020-03-14T04:28:21Z
Noruega,1090,3,1,1086,0.28,2020-03-14T04:28:21Z
Suecia,961,2,1,958,0.21,2020-03-14T04:28:21Z
Holanda,959,12,2,945,1.25,2020-03-14T04:28:21Z
Dinamarca,836,1,1,834,0.12,2020-03-14T04:28:21Z
Japón,773,22,118,633,2.85,2020-03-14T04:28:21Z
Crucero Diamond Princess,742,7,325,410,0.94,2020-03-14T04:28:21Z
Bélgica,689,4,1,684,0.58,2020-03-14T04:28:21Z
Austria,655,1,6,648,0.15,2020-03-14T04:28:21Z
Qatar,337,0,4,333,0,2020-03-14T04:28:21Z
Australia,250,3,23,224,1.2,2020-03-14T04:28:21Z
Malasia,238,0,35,203,0,2020-03-14T04:28:21Z
Grecia,228,3,8,217,1.32,2020-03-14T04:28:21Z
Finlandia,225,0,1,224,0,2020-03-14T04:28:21Z
Singapur,212,0,105,107,0,2020-03-14T04:28:21Z
Baréin,210,0,44,166,0,2020-03-14T04:28:21Z
Canadá,196,1,8,187,0.51,2020-03-14T04:28:21Z
Israel,193,0,4,189,0,2020-03-14T04:28:21Z
República Checa,189,0,0,189,0,2020-03-14T04:28:21Z
Eslovenia,181,1,0,180,0.55,2020-03-14T04:28:21Z
Portugal,169,0,2,167,0,2020-03-14T04:28:21Z
Islandia,156,0,1,155,0,2020-03-14T04:28:21Z
Brasil,151,0,0,151,0,2020-03-14T04:28:21Z
Irlanda,129,2,0,127,1.55,2020-03-14T04:28:21Z
Rumania,123,0,9,114,0,2020-03-14T04:28:21Z
Estonia,115,0,0,115,0,2020-03-14T04:28:21Z
Filipinas,111,8,2,101,7.21,2020-03-14T04:28:21Z
Iraq,110,10,26,74,9.09,2020-03-14T04:28:21Z
Egipto,109,2,27,80,1.83,2020-03-14T04:28:21Z
Kuwait,104,0,5,99,0,2020-03-14T04:28:21Z
Arabia Saudita,103,0,1,102,0,2020-03-14T04:28:21Z
Polonia,103,3,0,100,2.91,2020-03-14T04:28:21Z
India,102,2,4,96,1.96,2020-03-14T04:28:21Z
Indonesia,96,5,8,83,5.21,2020-03-14T04:28:21Z
Líbano,93,3,1,89,3.23,2020-03-14T04:28:21Z
EAU,85,0,17,68,0,2020-03-14T04:28:21Z
Tailandia,82,1,35,46,1.22,2020-03-14T04:28:21Z
San Marino,80,5,4,71,6.25,2020-03-14T04:28:21Z
Chile,61,0,0,61,0,2020-03-14T04:28:21Z
Rusia,59,0,8,51,0,2020-03-14T04:28:21Z
Taiwán,53,1,20,32,1.89,2020-03-14T04:28:21Z
Vietnam,53,0,16,37,0,2020-03-14T04:28:21Z
Luxemburgo,51,1,0,50,1.96,2020-03-14T04:28:21Z
Serbia,46,0,0,46,0,2020-03-14T04:28:21Z
Eslovaquia,44,0,0,44,0,2020-03-14T04:28:21Z
Bulgaria,41,2,0,39,4.88,2020-03-14T04:28:21Z
Brunei,40,0,0,40,0,2020-03-14T04:28:21Z
Albania,38,1,0,37,2.63,2020-03-14T04:28:21Z
Croacia,38,0,1,37,0,2020-03-14T04:28:21Z
Perú,38,0,0,38,0,2020-03-14T04:28:21Z
Sudáfrica,38,0,0,38,0,2020-03-14T04:28:21Z
Argelia,37,3,12,22,8.11,2020-03-14T04:28:21Z
Panamá,36,1,0,35,2.78,2020-03-14T04:28:21Z
Argentina,34,2,1,31,5.88,2020-03-14T04:28:21Z
Pakistán,31,0,2,29,0,2020-03-14T04:28:21Z
Georgia,30,0,0,30,0,2020-03-14T04:28:21Z
Hungría,30,0,1,29,0,2020-03-14T04:28:21Z
Ecuador,28,2,0,26,7.14,2020-03-14T04:28:21Z
Bielorrusia,27,0,3,24,0,2020-03-14T04:28:21Z
Chipre,26,0,0,26,0,2020-03-14T04:28:21Z
Costa Rica,26,0,0,26,0,2020-03-14T04:28:21Z
Letonia,26,0,1,25,0,2020-03-14T04:28:21Z
México,26,0,4,22,0,2020-03-14T04:28:21Z
Colombia,22,0,0,22,0,2020-03-14T04:28:21Z
Omán,19,0,9,10,0,2020-03-14T04:28:21Z
Armenia,18,0,0,18,0,2020-03-14T04:28:21Z
Bosnia y Herzegovina,18,0,0,18,0,2020-03-14T04:28:21Z
Malta,18,0,1,17,0,2020-03-14T04:28:21Z
Túnez,18,0,0,18,0,2020-03-14T04:28:21Z
Marruecos,17,1,1,15,5.88,2020-03-14T04:28:21Z
Azerbaiyán,15,1,3,11,6.67,2020-03-14T04:28:21Z
Macedonia del Norte,14,0,1,13,0,2020-03-14T04:28:21Z
Moldova,12,0,0,12,0,2020-03-14T04:28:21Z
Afganistán,11,0,0,11,0,2020-03-14T04:28:21Z
República Dominicana,11,0,0,11,0,2020-03-14T04:28:21Z
Bolivia,10,0,0,10,0,2020-03-14T04:28:21Z
Maldivas,10,0,0,10,0,2020-03-14T04:28:21Z
Senegal,10,0,1,9,0,2020-03-14T04:28:21Z
Sri Lanka,10,0,1,9,0,2020-03-14T04:28:21Z
Martinica,9,0,0,9,0,2020-03-14T04:28:21Z
Jamaica,8,0,0,8,0,2020-03-14T04:28:21Z
Lituania,8,0,0,8,0,2020-03-14T04:28:21Z
Camboya,7,0,1,6,0,2020-03-14T04:28:21Z
Kazajistán,6,0,0,6,0,2020-03-14T04:28:21Z
Nueva Zelanda,6,0,0,6,0,2020-03-14T04:28:21Z
Paraguay,6,0,0,6,0,2020-03-14T04:28:21Z
Reunion,6,0,0,6,0,2020-03-14T04:28:21Z
Guayana Francesa,5,0,0,5,0,2020-03-14T04:28:21Z
Turquía,5,0,0,5,0,2020-03-14T04:28:21Z
Cuba,4,0,0,4,0,2020-03-14T04:28:21Z
Liechtenstein,4,0,0,4,0,2020-03-14T04:28:21Z
Uruguay,4,0,0,4,0,2020-03-14T04:28:21Z
Bangladesh,3,0,0,3,0,2020-03-14T04:28:21Z
Ghana,3,0,0,3,0,2020-03-14T04:28:21Z
Ucrania,3,1,0,2,33.33,2020-03-14T04:28:21Z
Aruba,2,0,0,2,0,2020-03-14T04:28:21Z
Burkina Faso,2,0,0,2,0,2020-03-14T04:28:21Z
Camerún,2,0,0,2,0,2020-03-14T04:28:21Z
Honduras,2,0,0,2,0,2020-03-14T04:28:21Z
Jersey,2,0,0,2,0,2020-03-14T04:28:21Z
Mónaco,2,0,0,2,0,2020-03-14T04:28:21Z
Namibia,2,0,0,2,0,2020-03-14T04:28:21Z
Nigeria,2,0,0,2,0,2020-03-14T04:28:21Z
Rep. Dem. del Congo,2,0,0,2,0,2020-03-14T04:28:21Z
Seychelles,2,0,0,2,0,2020-03-14T04:28:21Z
Trinidad y Tobago,2,0,0,2,0,2020-03-14T04:28:21Z
Venezuela,2,0,0,2,0,2020-03-14T04:28:21Z
Andorra,1,0,1,0,0,2020-03-14T04:28:21Z
Antigua y Barbuda,1,0,0,1,0,2020-03-14T04:28:21Z
Bután,1,0,0,1,0,2020-03-14T04:28:21Z
Ciudad del Vaticano,1,0,0,1,0,2020-03-14T04:28:21Z
Costa de Marfil,1,0,0,1,0,2020-03-14T04:28:21Z
Curacao,1,0,0,1,0,2020-03-14T04:28:21Z
Esuatini,1,0,0,1,0,2020-03-14T04:28:21Z
Etiopía,1,0,0,1,0,2020-03-14T04:28:21Z
