pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,81397,3265,72362,5770,4.01,2020-03-22
Italia,59138,5476,7024,46638,9.26,2020-03-22
EEUU,33227,417,178,32632,1.26,2020-03-22
España,28768,1772,2575,24421,6.16,2020-03-22
Alemania,24873,94,266,24513,0.38,2020-03-22
Irán,21638,1685,7931,12022,7.79,2020-03-22
Francia,16044,674,2200,13170,4.2,2020-03-22
Corea del Sur,8897,104,2909,5884,1.17,2020-03-22
Suiza,7245,98,131,7016,1.35,2020-03-22
Reino Unido,5741,282,67,5392,4.91,2020-03-22
Holanda,4216,180,2,4034,4.27,2020-03-22
Bélgica,3401,75,263,3063,2.21,2020-03-22
Austria,3244,16,9,3219,0.49,2020-03-22
Noruega,2383,7,1,2375,0.29,2020-03-22
Suecia,1934,21,16,1897,1.09,2020-03-22
Portugal,1600,14,5,1581,0.88,2020-03-22
Brasil,1593,25,2,1566,1.57,2020-03-22
Dinamarca,1514,13,1,1500,0.86,2020-03-22
Canadá,1465,21,10,1434,1.43,2020-03-22
Australia,1314,7,88,1219,0.53,2020-03-22
Malasia,1306,10,139,1157,0.77,2020-03-22
Turquía,1236,30,0,1206,2.43,2020-03-22
República Checa,1120,1,6,1113,0.09,2020-03-22
Japón,1086,40,235,811,3.68,2020-03-22
Israel,1071,1,37,1033,0.09,2020-03-22
Irlanda,906,4,5,897,0.44,2020-03-22
Luxemburgo,798,8,6,784,1,2020-03-22
Ecuador,789,14,3,772,1.77,2020-03-22
Pakistán,776,5,5,766,0.64,2020-03-22
Crucero Diamond Princess,761,8,325,428,1.05,2020-03-22
Polonia,634,7,1,626,1.1,2020-03-22
Chile,632,1,8,623,0.16,2020-03-22
Finlandia,626,1,10,615,0.16,2020-03-22
Grecia,624,15,19,590,2.4,2020-03-22
Tailandia,599,1,44,554,0.17,2020-03-22
Islandia,568,1,36,531,0.18,2020-03-22
Indonesia,514,48,29,437,9.34,2020-03-22
Arabia Saudita,511,0,16,495,0,2020-03-22
Qatar,494,0,33,461,0,2020-03-22
Singapur,455,2,144,309,0.44,2020-03-22
Rumania,433,3,64,366,0.69,2020-03-22
Eslovenia,414,2,0,412,0.48,2020-03-22
India,396,7,27,362,1.77,2020-03-22
Filipinas,380,25,17,338,6.58,2020-03-22
Rusia,367,0,16,351,0,2020-03-22
Perú,363,5,1,357,1.38,2020-03-22
Baréin,332,2,149,181,0.6,2020-03-22
Egipto,327,14,56,257,4.28,2020-03-22
Estonia,326,0,2,324,0,2020-03-22
Sudáfrica,274,0,0,274,0,2020-03-22
Croacia,254,1,5,248,0.39,2020-03-22
México,251,2,4,245,0.8,2020-03-22
Líbano,248,4,8,236,1.61,2020-03-22
Panamá,245,3,0,242,1.22,2020-03-22
Iraq,233,20,57,156,8.58,2020-03-22
Colombia,231,2,3,226,0.87,2020-03-22
Argentina,225,4,3,218,1.78,2020-03-22
Serbia,222,2,1,219,0.9,2020-03-22
República Dominicana,202,3,0,199,1.49,2020-03-22
Argelia,201,17,65,119,8.46,2020-03-22
Armenia,194,0,2,192,0,2020-03-22
Kuwait,188,0,27,161,0,2020-03-22
Bulgaria,187,3,3,181,1.6,2020-03-22
Eslovaquia,185,1,7,177,0.54,2020-03-22
Taiwán,169,2,28,139,1.18,2020-03-22
San Marino,160,20,4,136,12.5,2020-03-22
EAU,153,2,38,113,1.31,2020-03-22
Letonia,139,0,1,138,0,2020-03-22
Uruguay,135,0,0,135,0,2020-03-22
Costa Rica,134,2,2,130,1.49,2020-03-22
Hungría,131,6,16,109,4.58,2020-03-22
Lituania,131,1,1,129,0.76,2020-03-22
Bosnia y Herzegovina,126,1,2,123,0.79,2020-03-22
Marruecos,115,4,3,108,3.48,2020-03-22
Macedonia del Norte,114,1,1,112,0.88,2020-03-22
Andorra,113,1,1,111,0.88,2020-03-22
Vietnam,113,0,17,96,0,2020-03-22
Jordania,112,0,1,111,0,2020-03-22
Chipre,95,1,3,91,1.05,2020-03-22
Moldova,94,1,1,92,1.06,2020-03-22
Malta,90,0,2,88,0,2020-03-22
Albania,89,2,2,85,2.25,2020-03-22
Brunei,88,0,2,86,0,2020-03-22
Camboya,84,0,1,83,0,2020-03-22
Sri Lanka,82,0,3,79,0,2020-03-22
Bielorrusia,76,0,15,61,0,2020-03-22
Burkina Faso,75,4,5,66,5.33,2020-03-22
Túnez,75,3,1,71,4,2020-03-22
Ucrania,73,3,1,69,4.11,2020-03-22
Venezuela,70,0,15,55,0,2020-03-22
Senegal,67,0,5,62,0,2020-03-22
Nueva Zelanda,66,0,0,66,0,2020-03-22
Azerbaiyán,65,1,10,54,1.54,2020-03-22
Kazajistán,60,0,0,60,0,2020-03-22
Guadalupe,56,0,0,56,0,2020-03-22
Omán,55,0,17,38,0,2020-03-22
Georgia,54,0,3,51,0,2020-03-22
Trinidad y Tobago,50,0,1,49,0,2020-03-22
Reunion,47,0,0,47,0,2020-03-22
Uzbekistán,43,0,0,43,0,2020-03-22
Afganistán,40,1,1,38,2.5,2020-03-22
Camerún,40,0,0,40,0,2020-03-22
Liechtenstein,37,0,0,37,0,2020-03-22
Martinica,37,1,0,36,2.7,2020-03-22
Cuba,35,1,0,34,2.86,2020-03-22
Nigeria,30,0,2,28,0,2020-03-22
Rep. Dem. del Congo,30,1,0,29,3.33,2020-03-22
Bangladesh,27,2,3,22,7.41,2020-03-22
Honduras,26,0,0,26,0,2020-03-22
