pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,80932,3172,62901,14859,3.92,2020-03-13T00:07:43Z
Italia,12462,827,1045,10590,6.64,2020-03-13T00:07:43Z
Irán,10075,429,2959,6687,4.26,2020-03-13T00:07:43Z
Corea del Sur,7869,66,333,7470,0.84,2020-03-13T00:07:43Z
Francia,2284,48,12,2224,2.1,2020-03-13T00:07:43Z
España,2277,55,183,2039,2.42,2020-03-13T00:07:43Z
Alemania,2078,3,25,2050,0.14,2020-03-13T00:07:43Z
EEUU,1617,40,12,1565,2.47,2020-03-13T00:07:43Z
Crucero Diamond Princess,742,7,325,410,0.94,2020-03-13T00:07:43Z
Noruega,702,0,1,701,0,2020-03-13T00:07:43Z
Suiza,652,4,4,644,0.61,2020-03-13T00:07:43Z
Japón,639,16,118,505,2.5,2020-03-13T00:07:43Z
Dinamarca,617,0,1,616,0,2020-03-13T00:07:43Z
Suecia,599,1,1,597,0.17,2020-03-13T00:07:43Z
Holanda,503,5,0,498,0.99,2020-03-13T00:07:43Z
Reino Unido,459,8,19,432,1.74,2020-03-13T00:07:43Z
Bélgica,314,3,1,310,0.96,2020-03-13T00:07:43Z
Austria,302,1,4,297,0.33,2020-03-13T00:07:43Z
Qatar,262,0,0,262,0,2020-03-13T00:07:43Z
Baréin,195,0,35,160,0,2020-03-13T00:07:43Z
Singapur,178,0,96,82,0,2020-03-13T00:07:43Z
Malasia,149,0,26,123,0,2020-03-13T00:07:43Z
Israel,131,0,4,127,0,2020-03-13T00:07:43Z
Australia,128,3,21,104,2.34,2020-03-13T00:07:43Z
Canadá,117,1,8,108,0.85,2020-03-13T00:07:43Z
Islandia,103,0,1,102,0,2020-03-13T00:07:43Z
Grecia,99,1,0,98,1.01,2020-03-13T00:07:43Z
República Checa,94,0,0,94,0,2020-03-13T00:07:43Z
Eslovenia,89,0,0,89,0,2020-03-13T00:07:43Z
EAU,85,0,17,68,0,2020-03-13T00:07:43Z
Kuwait,80,0,5,75,0,2020-03-13T00:07:43Z
India,73,1,4,68,1.37,2020-03-13T00:07:43Z
Iraq,71,8,15,48,11.27,2020-03-13T00:07:43Z
Tailandia,70,1,34,35,1.43,2020-03-13T00:07:43Z
San Marino,69,3,0,66,4.35,2020-03-13T00:07:43Z
Egipto,67,1,27,39,1.49,2020-03-13T00:07:43Z
Líbano,61,3,1,57,4.92,2020-03-13T00:07:43Z
Finlandia,59,0,1,58,0,2020-03-13T00:07:43Z
Portugal,59,0,0,59,0,2020-03-13T00:07:43Z
Brasil,52,0,0,52,0,2020-03-13T00:07:43Z
Filipinas,52,2,2,48,3.85,2020-03-13T00:07:43Z
Polonia,49,1,0,48,2.04,2020-03-13T00:07:43Z
Rumania,49,0,6,43,0,2020-03-13T00:07:43Z
Taiwán,49,1,20,28,2.04,2020-03-13T00:07:43Z
Arabia Saudita,45,0,1,44,0,2020-03-13T00:07:43Z
Irlanda,43,1,0,42,2.33,2020-03-13T00:07:43Z
Vietnam,39,0,16,23,0,2020-03-13T00:07:43Z
Indonesia,34,1,2,31,2.94,2020-03-13T00:07:43Z
Rusia,28,0,3,25,0,2020-03-13T00:07:43Z
Argelia,24,1,8,15,4.17,2020-03-13T00:07:43Z
Georgia,24,0,0,24,0,2020-03-13T00:07:43Z
Albania,23,1,0,22,4.35,2020-03-13T00:07:43Z
Chile,23,0,0,23,0,2020-03-13T00:07:43Z
Costa Rica,22,0,0,22,0,2020-03-13T00:07:43Z
Pakistán,20,0,2,18,0,2020-03-13T00:07:43Z
Argentina,19,1,0,18,5.26,2020-03-13T00:07:43Z
Croacia,19,0,0,19,0,2020-03-13T00:07:43Z
Luxemburgo,19,0,0,19,0,2020-03-13T00:07:43Z
Serbia,19,0,0,19,0,2020-03-13T00:07:43Z
Omán,18,0,9,9,0,2020-03-13T00:07:43Z
Ecuador,17,0,0,17,0,2020-03-13T00:07:43Z
Sudáfrica,17,0,0,17,0,2020-03-13T00:07:43Z
Eslovaquia,16,0,0,16,0,2020-03-13T00:07:43Z
Estonia,16,0,0,16,0,2020-03-13T00:07:43Z
Perú,15,0,0,15,0,2020-03-13T00:07:43Z
Hungría,13,0,0,13,0,2020-03-13T00:07:43Z
Bielorrusia,12,0,3,9,0,2020-03-13T00:07:43Z
México,12,0,4,8,0,2020-03-13T00:07:43Z
Azerbaiyán,11,0,3,8,0,2020-03-13T00:07:43Z
Bosnia y Herzegovina,11,0,0,11,0,2020-03-13T00:07:43Z
Brunei,11,0,0,11,0,2020-03-13T00:07:43Z
Panamá,11,1,0,10,9.09,2020-03-13T00:07:43Z
Letonia,10,0,1,9,0,2020-03-13T00:07:43Z
Colombia,9,0,0,9,0,2020-03-13T00:07:43Z
Maldivas,8,0,0,8,0,2020-03-13T00:07:43Z
Afganistán,7,0,0,7,0,2020-03-13T00:07:43Z
Bulgaria,7,1,0,6,14.29,2020-03-13T00:07:43Z
Macedonia del Norte,7,0,0,7,0,2020-03-13T00:07:43Z
Túnez,7,0,0,7,0,2020-03-13T00:07:43Z
Chipre,6,0,0,6,0,2020-03-13T00:07:43Z
Malta,6,0,0,6,0,2020-03-13T00:07:43Z
Marruecos,6,1,0,5,16.67,2020-03-13T00:07:43Z
Guayana Francesa,5,0,0,5,0,2020-03-13T00:07:43Z
Nueva Zelanda,5,0,0,5,0,2020-03-13T00:07:43Z
Paraguay,5,0,0,5,0,2020-03-13T00:07:43Z
República Dominicana,5,0,0,5,0,2020-03-13T00:07:43Z
Armenia,4,0,0,4,0,2020-03-13T00:07:43Z
Senegal,4,0,1,3,0,2020-03-13T00:07:43Z
Bangladesh,3,0,0,3,0,2020-03-13T00:07:43Z
Camboya,3,0,1,2,0,2020-03-13T00:07:43Z
Cuba,3,0,0,3,0,2020-03-13T00:07:43Z
Lituania,3,0,0,3,0,2020-03-13T00:07:43Z
Martinica,3,0,0,3,0,2020-03-13T00:07:43Z
Moldova,3,0,0,3,0,2020-03-13T00:07:43Z
Bolivia,2,0,0,2,0,2020-03-13T00:07:43Z
Burkina Faso,2,0,0,2,0,2020-03-13T00:07:43Z
Camerún,2,0,0,2,0,2020-03-13T00:07:43Z
Honduras,2,0,0,2,0,2020-03-13T00:07:43Z
Jamaica,2,0,0,2,0,2020-03-13T00:07:43Z
Mónaco,2,0,0,2,0,2020-03-13T00:07:43Z
Nigeria,2,0,0,2,0,2020-03-13T00:07:43Z
Sri Lanka,2,0,1,1,0,2020-03-13T00:07:43Z
Andorra,1,0,1,0,0,2020-03-13T00:07:43Z
Bután,1,0,0,1,0,2020-03-13T00:07:43Z
Ciudad del Vaticano,1,0,0,1,0,2020-03-13T00:07:43Z
Costa de Marfil,1,0,0,1,0,2020-03-13T00:07:43Z
Guyana,1,1,0,0,100,2020-03-13T00:07:43Z
Jordania,1,0,0,1,0,2020-03-13T00:07:43Z
Liechtenstein,1,0,0,1,0,2020-03-13T00:07:43Z
Mongolia,1,0,0,1,0,2020-03-13T00:07:43Z
Nepal,1,0,1,0,0,2020-03-13T00:07:43Z
Rep. Dem. del Congo,1,0,0,1,0,2020-03-13T00:07:43Z
Reunion,1,0,0,1,0,2020-03-13T00:07:43Z
Togo,1,0,0,1,0,2020-03-13T00:07:43Z
