pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,80652,3070,55478,22104,3.81,2020/03/07 18:42:01
Corea del Sur,7041,44,135,6862,0.62,2020/03/07 18:42:01
Italia,5883,233,589,5061,3.96,2020/03/07 18:42:01
Irán,5823,145,1669,4009,2.49,2020/03/07 18:42:01
Francia,949,11,12,926,1.16,2020/03/07 18:42:01
Alemania,799,0,18,781,0,2020/03/07 18:42:01
Crucero Diamond Princess,696,6,40,650,0.86,2020/03/07 18:42:01
España,500,10,30,460,2,2020/03/07 18:42:01
Japón,461,6,76,379,1.3,2020/03/07 18:42:01
EEUU,417,17,8,392,4.08,2020/03/07 18:42:01
Suiza,268,1,3,264,0.37,2020/03/07 18:42:01
Reino Unido,206,2,18,186,0.97,2020/03/07 18:42:01
Holanda,188,1,0,187,0.53,2020/03/07 18:42:01
Bélgica,169,0,1,168,0,2020/03/07 18:42:01
Suecia,161,0,0,161,0,2020/03/07 18:42:01
Noruega,147,0,0,147,0,2020/03/07 18:42:01
Singapur,138,0,78,60,0,2020/03/07 18:42:01
Hong Kong,108,2,51,55,1.85,2020/03/07 18:42:01
Malasia,93,0,23,70,0,2020/03/07 18:42:01
Baréin,85,0,4,81,0,2020/03/07 18:42:01
Austria,79,0,0,79,0,2020/03/07 18:42:01
Australia,63,2,21,40,3.17,2020/03/07 18:42:01
Kuwait,61,0,0,61,0,2020/03/07 18:42:01
Canadá,54,0,8,46,0,2020/03/07 18:42:01
Iraq,54,4,0,50,7.41,2020/03/07 18:42:01
Islandia,50,0,0,50,0,2020/03/07 18:42:01
Tailandia,50,1,31,18,2,2020/03/07 18:42:01
Grecia,46,0,0,46,0,2020/03/07 18:42:01
Emiratos Árabes Unidos,45,0,7,38,0,2020/03/07 18:42:01
Taiwán,45,1,12,32,2.22,2020/03/07 18:42:01
India,34,0,3,31,0,2020/03/07 18:42:01
Dinamarca,23,0,1,22,0,2020/03/07 18:42:01
San Marino,23,1,0,22,4.35,2020/03/07 18:42:01
Líbano,22,0,1,21,0,2020/03/07 18:42:01
Palestina,22,0,0,22,0,2020/03/07 18:42:01
Israel,21,0,2,19,0,2020/03/07 18:42:01
Portugal,20,0,0,20,0,2020/03/07 18:42:01
República Checa,19,0,0,19,0,2020/03/07 18:42:01
Irlanda,18,0,0,18,0,2020/03/07 18:42:01
Vietnam,18,0,16,2,0,2020/03/07 18:42:01
Argelia,17,0,0,17,0,2020/03/07 18:42:01
Omán,16,0,2,14,0,2020/03/07 18:42:01
Egipto,15,0,1,14,0,2020/03/07 18:42:01
Finlandia,15,0,1,14,0,2020/03/07 18:42:01
Brasil,13,0,0,13,0,2020/03/07 18:42:01
Ecuador,13,0,0,13,0,2020/03/07 18:42:01
Rusia,13,0,2,11,0,2020/03/07 18:42:01
Croacia,12,0,0,12,0,2020/03/07 18:42:01
Estonia,10,0,0,10,0,2020/03/07 18:42:01
Macao,10,0,10,0,0,2020/03/07 18:42:01
Azerbaiyán,9,0,0,9,0,2020/03/07 18:42:01
Rumania,9,0,3,6,0,2020/03/07 18:42:01
Argentina,8,0,0,8,0,2020/03/07 18:42:01
Qatar,8,0,0,8,0,2020/03/07 18:42:01
Eslovenia,7,0,0,7,0,2020/03/07 18:42:01
Bielorrusia,6,0,0,6,0,2020/03/07 18:42:01
Filipinas,6,1,1,4,16.67,2020/03/07 18:42:01
México,6,0,1,5,0,2020/03/07 18:42:01
Pakistán,6,0,0,6,0,2020/03/07 18:42:01
Arabia Saudita,5,0,0,5,0,2020/03/07 18:42:01
French Guiana,5,0,0,5,0,2020/03/07 18:42:01
Nueva Zelanda,5,0,0,5,0,2020/03/07 18:42:01
Polonia,5,0,0,5,0,2020/03/07 18:42:01
Chile,4,0,0,4,0,2020/03/07 18:42:01
Georgia,4,0,0,4,0,2020/03/07 18:42:01
