pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,80977,3193,65660,12124,3.94,2020-03-15T13:25:39Z
Italia,21157,1441,1966,17750,6.81,2020-03-15T13:25:39Z
Irán,12729,611,2959,9159,4.8,2020-03-15T13:25:39Z
Corea del Sur,8086,72,510,7504,0.89,2020-03-15T13:25:39Z
España,6391,195,517,5679,3.05,2020-03-15T13:25:39Z
Alemania,4585,9,46,4530,0.2,2020-03-15T13:25:39Z
Francia,4480,91,12,4377,2.03,2020-03-15T13:25:39Z
EEUU,2680,54,12,2614,2.01,2020-03-15T13:25:39Z
Suiza,1359,13,4,1342,0.96,2020-03-15T13:25:39Z
Reino Unido,1143,21,19,1103,1.84,2020-03-15T13:25:39Z
Noruega,1090,3,1,1086,0.28,2020-03-15T13:25:39Z
Suecia,961,2,1,958,0.21,2020-03-15T13:25:39Z
Holanda,959,12,2,945,1.25,2020-03-15T13:25:39Z
Dinamarca,836,1,1,834,0.12,2020-03-15T13:25:39Z
Japón,773,22,118,633,2.85,2020-03-15T13:25:39Z
Crucero Diamond Princess,742,7,325,410,0.94,2020-03-15T13:25:39Z
Bélgica,689,4,1,684,0.58,2020-03-15T13:25:39Z
Austria,655,1,6,648,0.15,2020-03-15T13:25:39Z
Qatar,337,0,4,333,0,2020-03-15T13:25:39Z
Australia,250,3,23,224,1.2,2020-03-15T13:25:39Z
Malasia,238,0,35,203,0,2020-03-15T13:25:39Z
Grecia,228,3,8,217,1.32,2020-03-15T13:25:39Z
Finlandia,225,0,1,224,0,2020-03-15T13:25:39Z
Singapur,212,0,105,107,0,2020-03-15T13:25:39Z
Baréin,210,0,44,166,0,2020-03-15T13:25:39Z
Canadá,196,1,8,187,0.51,2020-03-15T13:25:39Z
Israel,193,0,4,189,0,2020-03-15T13:25:39Z
República Checa,189,0,0,189,0,2020-03-15T13:25:39Z
Eslovenia,181,1,0,180,0.55,2020-03-15T13:25:39Z
Portugal,169,0,2,167,0,2020-03-15T13:25:39Z
Islandia,156,0,1,155,0,2020-03-15T13:25:39Z
Brasil,151,0,0,151,0,2020-03-15T13:25:39Z
Irlanda,129,2,0,127,1.55,2020-03-15T13:25:39Z
Rumania,123,0,9,114,0,2020-03-15T13:25:39Z
Estonia,115,0,0,115,0,2020-03-15T13:25:39Z
Filipinas,111,8,2,101,7.21,2020-03-15T13:25:39Z
Iraq,110,10,26,74,9.09,2020-03-15T13:25:39Z
Egipto,109,2,27,80,1.83,2020-03-15T13:25:39Z
Kuwait,104,0,5,99,0,2020-03-15T13:25:39Z
Arabia Saudita,103,0,1,102,0,2020-03-15T13:25:39Z
Polonia,103,3,0,100,2.91,2020-03-15T13:25:39Z
India,102,2,4,96,1.96,2020-03-15T13:25:39Z
Indonesia,96,5,8,83,5.21,2020-03-15T13:25:39Z
Líbano,93,3,1,89,3.23,2020-03-15T13:25:39Z
EAU,85,0,17,68,0,2020-03-15T13:25:39Z
Tailandia,82,1,35,46,1.22,2020-03-15T13:25:39Z
San Marino,80,5,4,71,6.25,2020-03-15T13:25:39Z
Chile,61,0,0,61,0,2020-03-15T13:25:39Z
Rusia,59,0,8,51,0,2020-03-15T13:25:39Z
Taiwán,53,1,20,32,1.89,2020-03-15T13:25:39Z
Vietnam,53,0,16,37,0,2020-03-15T13:25:39Z
Luxemburgo,51,1,0,50,1.96,2020-03-15T13:25:39Z
Serbia,46,0,0,46,0,2020-03-15T13:25:39Z
Eslovaquia,44,0,0,44,0,2020-03-15T13:25:39Z
Bulgaria,41,2,0,39,4.88,2020-03-15T13:25:39Z
Brunei,40,0,0,40,0,2020-03-15T13:25:39Z
Albania,38,1,0,37,2.63,2020-03-15T13:25:39Z
Croacia,38,0,1,37,0,2020-03-15T13:25:39Z
Perú,38,0,0,38,0,2020-03-15T13:25:39Z
Sudáfrica,38,0,0,38,0,2020-03-15T13:25:39Z
Argelia,37,3,12,22,8.11,2020-03-15T13:25:39Z
Panamá,36,1,0,35,2.78,2020-03-15T13:25:39Z
Argentina,34,2,1,31,5.88,2020-03-15T13:25:39Z
Pakistán,31,0,2,29,0,2020-03-15T13:25:39Z
Georgia,30,0,0,30,0,2020-03-15T13:25:39Z
Hungría,30,0,1,29,0,2020-03-15T13:25:39Z
