pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,80921,3161,61644,16116,3.91,2020/03/11 23:56:10
Italia,12462,827,1045,10590,6.64,2020/03/11 23:56:10
Irán,9000,354,2959,5687,3.93,2020/03/11 23:56:10
Corea del Sur,7755,60,288,7407,0.77,2020/03/11 23:56:10
Francia,2284,48,12,2224,2.1,2020/03/11 23:56:10
España,2277,54,183,2040,2.37,2020/03/11 23:56:10
Alemania,1908,3,25,1880,0.16,2020/03/11 23:56:10
EEUU,1235,36,8,1191,2.91,2020/03/11 23:56:10
Crucero Diamond Princess,742,7,325,410,0.94,2020/03/11 23:56:10
Suiza,652,4,4,644,0.61,2020/03/11 23:56:10
Japón,639,15,118,506,2.35,2020/03/11 23:56:10
Noruega,598,0,1,597,0,2020/03/11 23:56:10
Holanda,503,5,0,498,0.99,2020/03/11 23:56:10
Suecia,500,1,1,498,0.2,2020/03/11 23:56:10
Reino Unido,459,8,19,432,1.74,2020/03/11 23:56:10
Dinamarca,444,0,1,443,0,2020/03/11 23:56:10
Bélgica,314,3,1,310,0.96,2020/03/11 23:56:10
Qatar,262,0,0,262,0,2020/03/11 23:56:10
Austria,246,0,4,242,0,2020/03/11 23:56:10
Baréin,195,0,35,160,0,2020/03/11 23:56:10
Singapur,178,0,96,82,0,2020/03/11 23:56:10
Malasia,149,0,26,123,0,2020/03/11 23:56:10
Australia,128,3,21,104,2.34,2020/03/11 23:56:10
Israel,109,0,4,105,0,2020/03/11 23:56:10
Canadá,108,1,8,99,0.93,2020/03/11 23:56:10
Grecia,99,1,0,98,1.01,2020/03/11 23:56:10
República Checa,91,0,0,91,0,2020/03/11 23:56:10
Islandia,85,0,1,84,0,2020/03/11 23:56:10
EAU,74,0,17,57,0,2020/03/11 23:56:10
Kuwait,72,0,2,70,0,2020/03/11 23:56:10
Iraq,71,7,15,49,9.86,2020/03/11 23:56:10
India,62,1,4,57,1.61,2020/03/11 23:56:10
San Marino,62,2,0,60,3.23,2020/03/11 23:56:10
Líbano,61,3,1,57,4.92,2020/03/11 23:56:10
Egipto,60,1,27,32,1.67,2020/03/11 23:56:10
Finlandia,59,0,1,58,0,2020/03/11 23:56:10
Portugal,59,0,0,59,0,2020/03/11 23:56:10
Tailandia,59,1,34,24,1.69,2020/03/11 23:56:10
Eslovenia,57,0,0,57,0,2020/03/11 23:56:10
Filipinas,49,1,2,46,2.04,2020/03/11 23:56:10
Taiwán,48,1,17,30,2.08,2020/03/11 23:56:10
Rumania,45,0,6,39,0,2020/03/11 23:56:10
Irlanda,43,1,0,42,2.33,2020/03/11 23:56:10
Brasil,38,0,0,38,0,2020/03/11 23:56:10
Vietnam,38,0,16,22,0,2020/03/11 23:56:10
Indonesia,34,1,2,31,2.94,2020/03/11 23:56:10
Polonia,31,0,0,31,0,2020/03/11 23:56:10
Georgia,24,0,0,24,0,2020/03/11 23:56:10
Chile,23,0,0,23,0,2020/03/11 23:56:10
Arabia Saudita,21,0,1,20,0,2020/03/11 23:56:10
Argelia,20,0,0,20,0,2020/03/11 23:56:10
Rusia,20,0,3,17,0,2020/03/11 23:56:10
Argentina,19,1,0,18,5.26,2020/03/11 23:56:10
Croacia,19,0,0,19,0,2020/03/11 23:56:10
Pakistán,19,0,2,17,0,2020/03/11 23:56:10
Omán,18,0,9,9,0,2020/03/11 23:56:10
Ecuador,17,0,0,17,0,2020/03/11 23:56:10
Estonia,16,0,0,16,0,2020/03/11 23:56:10
Costa Rica,13,0,0,13,0,2020/03/11 23:56:10
Hungría,13,0,0,13,0,2020/03/11 23:56:10
Sudáfrica,13,0,0,13,0,2020/03/11 23:56:10
Albania,12,1,0,11,8.33,2020/03/11 23:56:10
Serbia,12,0,0,12,0,2020/03/11 23:56:10
Azerbaiyán,11,0,3,8,0,2020/03/11 23:56:10
Brunei,11,0,0,11,0,2020/03/11 23:56:10
Perú,11,0,0,11,0,2020/03/11 23:56:10
Eslovaquia,10,0,0,10,0,2020/03/11 23:56:10
Letonia,10,0,1,9,0,2020/03/11 23:56:10
Bielorrusia,9,0,3,6,0,2020/03/11 23:56:10
Colombia,9,0,0,9,0,2020/03/11 23:56:10
Maldivas,8,0,0,8,0,2020/03/11 23:56:10
México,8,0,4,4,0,2020/03/11 23:56:10
