pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,79826,2870,42118,34838,3.6,2020/03/01 18:27:17
Corea del Sur,3736,17,30,3689,0.46,2020/03/01 18:27:17
Italia,1694,34,83,1577,2.01,2020/03/01 18:27:17
Irán,978,54,175,749,5.52,2020/03/01 18:27:17
Crucero Diamond Princess,705,6,10,689,0.85,2020/03/01 18:27:17
Japón,256,6,32,218,2.34,2020/03/01 18:27:17
Alemania,130,0,16,114,0,2020/03/01 18:27:17
Francia,130,2,12,116,1.54,2020/03/01 18:27:17
Singapur,106,0,72,34,0,2020/03/01 18:27:17
Hong Kong,96,2,36,58,2.08,2020/03/01 18:27:17
España,84,0,2,82,0,2020/03/01 18:27:17
EEUU,76,1,7,68,1.32,2020/03/01 18:27:17
Baréin,47,0,0,47,0,2020/03/01 18:27:17
Kuwait,45,0,0,45,0,2020/03/01 18:27:17
Tailandia,42,1,28,13,2.38,2020/03/01 18:27:17
Taiwán,40,1,9,30,2.5,2020/03/01 18:27:17
Reino Unido,36,0,8,28,0,2020/03/01 18:27:17
Malasia,29,0,18,11,0,2020/03/01 18:27:17
Australia,27,1,11,15,3.7,2020/03/01 18:27:17
Suiza,27,0,0,27,0,2020/03/01 18:27:17
Canadá,24,0,6,18,0,2020/03/01 18:27:17
Emiratos Árabes Unidos,21,0,5,16,0,2020/03/01 18:27:17
Iraq,19,0,0,19,0,2020/03/01 18:27:17
Noruega,19,0,0,19,0,2020/03/01 18:27:17
Vietnam,16,0,16,0,0,2020/03/01 18:27:17
Austria,14,0,0,14,0,2020/03/01 18:27:17
Suecia,14,0,0,14,0,2020/03/01 18:27:17
Holanda,10,0,0,10,0,2020/03/01 18:27:17
Israel,10,0,1,9,0,2020/03/01 18:27:17
Líbano,10,0,0,10,0,2020/03/01 18:27:17
Macao,10,0,8,2,0,2020/03/01 18:27:17
Croacia,7,0,0,7,0,2020/03/01 18:27:17
Grecia,7,0,0,7,0,2020/03/01 18:27:17
Ecuador,6,0,0,6,0,2020/03/01 18:27:17
Finlandia,6,0,1,5,0,2020/03/01 18:27:17
Omán,6,0,1,5,0,2020/03/01 18:27:17
México,5,0,0,5,0,2020/03/01 18:27:17
Dinamarca,4,0,0,4,0,2020/03/01 18:27:17
Pakistán,4,0,0,4,0,2020/03/01 18:27:17
Azerbaiyán,3,0,0,3,0,2020/03/01 18:27:17
Filipinas,3,1,1,1,33.33,2020/03/01 18:27:17
Georgia,3,0,0,3,0,2020/03/01 18:27:17
India,3,0,3,0,0,2020/03/01 18:27:17
Islandia,3,0,0,3,0,2020/03/01 18:27:17
Qatar,3,0,0,3,0,2020/03/01 18:27:17
República Checa,3,0,0,3,0,2020/03/01 18:27:17
Rumania,3,0,0,3,0,2020/03/01 18:27:17
Bélgica,2,0,1,1,0,2020/03/01 18:27:17
Brasil,2,0,0,2,0,2020/03/01 18:27:17
Egipto,2,0,1,1,0,2020/03/01 18:27:17
Rusia,2,0,2,0,0,2020/03/01 18:27:17
Afganistán,1,0,0,1,0,2020/03/01 18:27:17
Argelia,1,0,0,1,0,2020/03/01 18:27:17
Armenia,1,0,0,1,0,2020/03/01 18:27:17
Bielorrusia,1,0,0,1,0,2020/03/01 18:27:17
Camboya,1,0,1,0,0,2020/03/01 18:27:17
Estonia,1,0,0,1,0,2020/03/01 18:27:17
Irlanda,1,0,0,1,0,2020/03/01 18:27:17
Lituania,1,0,0,1,0,2020/03/01 18:27:17
Luxemburgo,1,0,0,1,0,2020/03/01 18:27:17
Macedonia del Norte,1,0,0,1,0,2020/03/01 18:27:17
Monaco,1,0,0,1,0,2020/03/01 18:27:17
Nepal,1,0,1,0,0,2020/03/01 18:27:17
Nigeria,1,0,0,1,0,2020/03/01 18:27:17
Nueva Zelanda,1,0,0,1,0,2020/03/01 18:27:17
República Dominicana,1,0,0,1,0,2020/03/01 18:27:17
San Marino,1,0,0,1,0,2020/03/01 18:27:17
Sri Lanka,1,0,1,0,0,2020/03/01 18:27:17
