pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,80945,3180,64196,13569,3.93,2020-03-14T00:30:08Z
Italia,17660,1266,1439,14955,7.17,2020-03-14T00:30:08Z
Irán,11364,514,2959,7891,4.52,2020-03-14T00:30:08Z
Corea del Sur,7979,66,510,7403,0.83,2020-03-14T00:30:08Z
España,5232,133,193,4906,2.54,2020-03-14T00:30:08Z
Alemania,3675,7,46,3622,0.19,2020-03-14T00:30:08Z
Francia,3667,79,12,3576,2.15,2020-03-14T00:30:08Z
EEUU,1904,43,12,1849,2.26,2020-03-14T00:30:08Z
Suiza,1139,11,4,1124,0.97,2020-03-14T00:30:08Z
Noruega,996,0,1,995,0,2020-03-14T00:30:08Z
Suecia,814,1,1,812,0.12,2020-03-14T00:30:08Z
Dinamarca,804,0,1,803,0,2020-03-14T00:30:08Z
Holanda,804,10,0,794,1.24,2020-03-14T00:30:08Z
Reino Unido,801,8,19,774,1,2020-03-14T00:30:08Z
Crucero Diamond Princess,742,7,325,410,0.94,2020-03-14T00:30:08Z
Japón,701,19,118,564,2.71,2020-03-14T00:30:08Z
Bélgica,556,3,1,552,0.54,2020-03-14T00:30:08Z
Qatar,320,0,0,320,0,2020-03-14T00:30:08Z
Austria,302,1,4,297,0.33,2020-03-14T00:30:08Z
Singapur,200,0,97,103,0,2020-03-14T00:30:08Z
Malasia,197,0,26,171,0,2020-03-14T00:30:08Z
Grecia,190,1,0,189,0.53,2020-03-14T00:30:08Z
Baréin,189,0,35,154,0,2020-03-14T00:30:08Z
Israel,161,0,4,157,0,2020-03-14T00:30:08Z
Canadá,157,1,8,148,0.64,2020-03-14T00:30:08Z
Finlandia,155,0,1,154,0,2020-03-14T00:30:08Z
Brasil,151,0,0,151,0,2020-03-14T00:30:08Z
Eslovenia,141,0,0,141,0,2020-03-14T00:30:08Z
República Checa,141,0,0,141,0,2020-03-14T00:30:08Z
Islandia,134,0,1,133,0,2020-03-14T00:30:08Z
Portugal,112,0,1,111,0,2020-03-14T00:30:08Z
Iraq,101,9,24,68,8.91,2020-03-14T00:30:08Z
Irlanda,90,1,0,89,1.11,2020-03-14T00:30:08Z
Rumania,89,0,7,82,0,2020-03-14T00:30:08Z
Arabia Saudita,86,0,1,85,0,2020-03-14T00:30:08Z
EAU,85,0,17,68,0,2020-03-14T00:30:08Z
India,82,2,4,76,2.44,2020-03-14T00:30:08Z
Egipto,80,2,27,51,2.5,2020-03-14T00:30:08Z
Kuwait,80,0,5,75,0,2020-03-14T00:30:08Z
San Marino,80,5,0,75,6.25,2020-03-14T00:30:08Z
Estonia,79,0,0,79,0,2020-03-14T00:30:08Z
Líbano,77,3,1,73,3.9,2020-03-14T00:30:08Z
Tailandia,75,1,35,39,1.33,2020-03-14T00:30:08Z
Indonesia,69,4,2,63,5.8,2020-03-14T00:30:08Z
Polonia,68,2,0,66,2.94,2020-03-14T00:30:08Z
Filipinas,64,5,2,57,7.81,2020-03-14T00:30:08Z
Taiwán,50,1,20,29,2,2020-03-14T00:30:08Z
Vietnam,47,0,16,31,0,2020-03-14T00:30:08Z
Rusia,45,0,3,42,0,2020-03-14T00:30:08Z
Chile,43,0,0,43,0,2020-03-14T00:30:08Z
Serbia,35,0,0,35,0,2020-03-14T00:30:08Z
Luxemburgo,34,0,0,34,0,2020-03-14T00:30:08Z
Albania,33,1,0,32,3.03,2020-03-14T00:30:08Z
Croacia,32,0,1,31,0,2020-03-14T00:30:08Z
Eslovaquia,32,0,0,32,0,2020-03-14T00:30:08Z
Argentina,31,2,0,29,6.45,2020-03-14T00:30:08Z
Pakistán,28,0,2,26,0,2020-03-14T00:30:08Z
Perú,28,0,0,28,0,2020-03-14T00:30:08Z
Bielorrusia,27,0,3,24,0,2020-03-14T00:30:08Z
Panamá,27,1,0,26,3.7,2020-03-14T00:30:08Z
Argelia,26,2,8,16,7.69,2020-03-14T00:30:08Z
Georgia,25,0,0,25,0,2020-03-14T00:30:08Z
Sudáfrica,24,0,0,24,0,2020-03-14T00:30:08Z
Bulgaria,23,1,0,22,4.35,2020-03-14T00:30:08Z
Costa Rica,23,0,0,23,0,2020-03-14T00:30:08Z
Hungría,19,0,0,19,0,2020-03-14T00:30:08Z
Omán,19,0,9,10,0,2020-03-14T00:30:08Z
Ecuador,17,0,0,17,0,2020-03-14T00:30:08Z
Letonia,17,0,1,16,0,2020-03-14T00:30:08Z
Túnez,16,0,0,16,0,2020-03-14T00:30:08Z
Azerbaiyán,15,1,3,11,6.67,2020-03-14T00:30:08Z
Chipre,14,0,0,14,0,2020-03-14T00:30:08Z
Macedonia del Norte,14,0,1,13,0,2020-03-14T00:30:08Z
Bosnia y Herzegovina,13,0,0,13,0,2020-03-14T00:30:08Z
Colombia,13,0,0,13,0,2020-03-14T00:30:08Z
Malta,12,0,1,11,0,2020-03-14T00:30:08Z
México,12,0,4,8,0,2020-03-14T00:30:08Z
Brunei,11,0,0,11,0,2020-03-14T00:30:08Z
Guayana Francesa,10,0,0,10,0,2020-03-14T00:30:08Z
Senegal,10,0,1,9,0,2020-03-14T00:30:08Z
Maldivas,9,0,0,9,0,2020-03-14T00:30:08Z
Armenia,8,0,0,8,0,2020-03-14T00:30:08Z
Jamaica,8,0,0,8,0,2020-03-14T00:30:08Z
Afganistán,7,0,0,7,0,2020-03-14T00:30:08Z
Marruecos,7,1,1,5,14.29,2020-03-14T00:30:08Z
Lituania,6,0,0,6,0,2020-03-14T00:30:08Z
Moldova,6,0,0,6,0,2020-03-14T00:30:08Z
Paraguay,6,0,0,6,0,2020-03-14T00:30:08Z
Sri Lanka,6,0,1,5,0,2020-03-14T00:30:08Z
Camboya,5,0,1,4,0,2020-03-14T00:30:08Z
Nueva Zelanda,5,0,0,5,0,2020-03-14T00:30:08Z
República Dominicana,5,0,0,5,0,2020-03-14T00:30:08Z
Reunion,5,0,0,5,0,2020-03-14T00:30:08Z
Turquía,5,0,0,5,0,2020-03-14T00:30:08Z
Cuba,4,0,0,4,0,2020-03-14T00:30:08Z
Kazajistán,4,0,0,4,0,2020-03-14T00:30:08Z
Bangladesh,3,0,0,3,0,2020-03-14T00:30:08Z
Martinica,3,0,0,3,0,2020-03-14T00:30:08Z
Ucrania,3,1,0,2,33.33,2020-03-14T00:30:08Z
Aruba,2,0,0,2,0,2020-03-14T00:30:08Z
Bolivia,2,0,0,2,0,2020-03-14T00:30:08Z
Burkina Faso,2,0,0,2,0,2020-03-14T00:30:08Z
Camerún,2,0,0,2,0,2020-03-14T00:30:08Z
Ghana,2,0,0,2,0,2020-03-14T00:30:08Z
Honduras,2,0,0,2,0,2020-03-14T00:30:08Z
Islas Faroe,2,0,0,2,0,2020-03-14T00:30:08Z
Mónaco,2,0,0,2,0,2020-03-14T00:30:08Z
Nigeria,2,0,0,2,0,2020-03-14T00:30:08Z
Rep. Dem. del Congo,2,0,0,2,0,2020-03-14T00:30:08Z
Sint Maarten,2,0,0,2,0,2020-03-14T00:30:08Z
Andorra,1,0,1,0,0,2020-03-14T00:30:08Z
Antigua y Barbuda,1,0,0,1,0,2020-03-14T00:30:08Z
Australia,1,0,0,1,0,2020-03-14T00:30:08Z
Bután,1,0,0,1,0,2020-03-14T00:30:08Z
Ciudad del Vaticano,1,0,0,1,0,2020-03-14T00:30:08Z
Costa de Marfil,1,0,0,1,0,2020-03-14T00:30:08Z
Etiopía,1,0,0,1,0,2020-03-14T00:30:08Z
Gabon,1,0,0,1,0,2020-03-14T00:30:08Z
Gibraltar,1,0,0,1,0,2020-03-14T00:30:08Z
Guadalupe,1,0,0,1,0,2020-03-14T00:30:08Z
Guernsey,1,0,0,1,0,2020-03-14T00:30:08Z
Guinea,1,0,0,1,0,2020-03-14T00:30:08Z
Guyana,1,1,0,0,100,2020-03-14T00:30:08Z
Islas Caimán,1,0,0,1,0,2020-03-14T00:30:08Z
Jordania,1,0,0,1,0,2020-03-14T00:30:08Z
Kenya,1,0,0,1,0,2020-03-14T00:30:08Z
Liechtenstein,1,0,0,1,0,2020-03-14T00:30:08Z
Mongolia,1,0,0,1,0,2020-03-14T00:30:08Z
Nepal,1,0,1,0,0,2020-03-14T00:30:08Z
Polinesia Francesa,1,0,0,1,0,2020-03-14T00:30:08Z
San Bartolomé,1,0,0,1,0,2020-03-14T00:30:08Z
Sudan,1,1,0,0,100,2020-03-14T00:30:08Z
Togo,1,0,0,1,0,2020-03-14T00:30:08Z
Trinidad y Tobago,1,0,0,1,0,2020-03-14T00:30:08Z
Palestina,0,0,0,0,NaN,2020-03-14T00:30:08Z
