pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,78498,2744,32898,42856,3.5,2020/02/27 18:23:53
Corea del Sur,1766,13,22,1731,0.74,2020/02/27 18:23:53
Crucero Diamond Princess,705,4,10,691,0.57,2020/02/27 18:23:53
Italia,655,17,45,593,2.6,2020/02/27 18:23:53
Irán,245,26,49,170,10.61,2020/02/27 18:23:53
Japón,214,4,22,188,1.87,2020/02/27 18:23:53
Singapur,93,0,62,31,0,2020/02/27 18:23:53
Hong Kong,92,2,24,66,2.17,2020/02/27 18:23:53
EEUU,60,0,6,54,0,2020/02/27 18:23:53
Alemania,46,0,16,30,0,2020/02/27 18:23:53
Kuwait,43,0,0,43,0,2020/02/27 18:23:53
Tailandia,40,0,22,18,0,2020/02/27 18:23:53
Francia,38,2,11,25,5.26,2020/02/27 18:23:53
Baréin,33,0,0,33,0,2020/02/27 18:23:53
Taiwán,32,1,5,26,3.12,2020/02/27 18:23:53
Australia,23,0,11,12,0,2020/02/27 18:23:53
Malasia,23,0,18,5,0,2020/02/27 18:23:53
Vietnam,16,0,16,0,0,2020/02/27 18:23:53
España,15,0,2,13,0,2020/02/27 18:23:53
Reino Unido,15,0,8,7,0,2020/02/27 18:23:53
Canadá,13,0,6,7,0,2020/02/27 18:23:53
Emiratos Árabes Unidos,13,0,4,9,0,2020/02/27 18:23:53
Macao,10,0,8,2,0,2020/02/27 18:23:53
Suiza,8,0,0,8,0,2020/02/27 18:23:53
Iraq,7,0,0,7,0,2020/02/27 18:23:53
Suecia,7,0,0,7,0,2020/02/27 18:23:53
Omán,4,0,0,4,0,2020/02/27 18:23:53
Austria,3,0,0,3,0,2020/02/27 18:23:53
Croacia,3,0,0,3,0,2020/02/27 18:23:53
Filipinas,3,1,1,1,33.33,2020/02/27 18:23:53
Grecia,3,0,0,3,0,2020/02/27 18:23:53
India,3,0,3,0,0,2020/02/27 18:23:53
Israel,3,0,1,2,0,2020/02/27 18:23:53
Finlandia,2,0,1,1,0,2020/02/27 18:23:53
Líbano,2,0,0,2,0,2020/02/27 18:23:53
Pakistán,2,0,0,2,0,2020/02/27 18:23:53
Rusia,2,0,2,0,0,2020/02/27 18:23:53
Afghanistan,1,0,0,1,0,2020/02/27 18:23:53
Argelia,1,0,0,1,0,2020/02/27 18:23:53
Bélgica,1,0,1,0,0,2020/02/27 18:23:53
Brasil,1,0,0,1,0,2020/02/27 18:23:53
Camboya,1,0,1,0,0,2020/02/27 18:23:53
Dinamarca,1,0,0,1,0,2020/02/27 18:23:53
Egipto,1,0,0,1,0,2020/02/27 18:23:53
Estonia,1,0,0,1,0,2020/02/27 18:23:53
Georgia,1,0,0,1,0,2020/02/27 18:23:53
Holanda,1,0,0,1,0,2020/02/27 18:23:53
Macedonia del Norte,1,0,0,1,0,2020/02/27 18:23:53
Nepal,1,0,1,0,0,2020/02/27 18:23:53
Noruega,1,0,0,1,0,2020/02/27 18:23:53
Rumania,1,0,0,1,0,2020/02/27 18:23:53
San Marino,1,0,0,1,0,2020/02/27 18:23:53
Sri Lanka,1,0,1,0,0,2020/02/27 18:23:53
