pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,80757,3136,60106,17515,3.88,2020/03/10 23:15:26
Italia,10149,631,724,8794,6.22,2020/03/10 23:15:26
Irán,8042,291,2731,5020,3.62,2020/03/10 23:15:26
Corea del Sur,7513,54,247,7212,0.72,2020/03/10 23:15:26
Francia,1784,33,12,1739,1.85,2020/03/10 23:15:26
España,1695,35,32,1628,2.06,2020/03/10 23:15:26
Alemania,1457,2,18,1437,0.14,2020/03/10 23:15:26
EEUU,959,28,8,923,2.92,2020/03/10 23:15:26
Crucero Diamond Princess,696,6,40,650,0.86,2020/03/10 23:15:26
Japón,581,10,101,470,1.72,2020/03/10 23:15:26
Suiza,491,3,3,485,0.61,2020/03/10 23:15:26
Noruega,400,0,1,399,0,2020/03/10 23:15:26
Holanda,382,4,0,378,1.05,2020/03/10 23:15:26
Reino Unido,382,6,18,358,1.57,2020/03/10 23:15:26
Suecia,355,0,1,354,0,2020/03/10 23:15:26
Bélgica,267,0,1,266,0,2020/03/10 23:15:26
Dinamarca,262,0,1,261,0,2020/03/10 23:15:26
Austria,182,0,4,178,0,2020/03/10 23:15:26
Singapur,160,0,78,82,0,2020/03/10 23:15:26
Malasia,129,0,24,105,0,2020/03/10 23:15:26
Hong Kong,120,3,65,52,2.5,2020/03/10 23:15:26
Baréin,110,0,22,88,0,2020/03/10 23:15:26
Australia,107,3,21,83,2.8,2020/03/10 23:15:26
Grecia,89,0,0,89,0,2020/03/10 23:15:26
Canadá,79,1,8,70,1.27,2020/03/10 23:15:26
EAU,74,0,12,62,0,2020/03/10 23:15:26
Iraq,71,7,3,61,9.86,2020/03/10 23:15:26
Islandia,69,0,1,68,0,2020/03/10 23:15:26
Kuwait,69,0,1,68,0,2020/03/10 23:15:26
Egipto,59,1,1,57,1.69,2020/03/10 23:15:26
Israel,58,0,4,54,0,2020/03/10 23:15:26
India,56,0,4,52,0,2020/03/10 23:15:26
Tailandia,53,1,33,19,1.89,2020/03/10 23:15:26
San Marino,51,2,0,49,3.92,2020/03/10 23:15:26
Taiwán,47,1,17,29,2.13,2020/03/10 23:15:26
Líbano,41,1,1,39,2.44,2020/03/10 23:15:26
Portugal,41,0,0,41,0,2020/03/10 23:15:26
República Checa,41,0,0,41,0,2020/03/10 23:15:26
Finlandia,40,0,1,39,0,2020/03/10 23:15:26
Irlanda,34,0,0,34,0,2020/03/10 23:15:26
Filipinas,33,1,2,30,3.03,2020/03/10 23:15:26
Brasil,31,0,0,31,0,2020/03/10 23:15:26
Eslovenia,31,0,0,31,0,2020/03/10 23:15:26
Vietnam,31,0,16,15,0,2020/03/10 23:15:26
Indonesia,27,0,2,25,0,2020/03/10 23:15:26
Palestina,25,0,0,25,0,2020/03/10 23:15:26
Rumania,25,0,3,22,0,2020/03/10 23:15:26
Qatar,24,0,0,24,0,2020/03/10 23:15:26
Polonia,22,0,0,22,0,2020/03/10 23:15:26
Arabia Saudita,20,0,1,19,0,2020/03/10 23:15:26
Argelia,20,0,0,20,0,2020/03/10 23:15:26
Omán,18,0,9,9,0,2020/03/10 23:15:26
Argentina,17,1,0,16,5.88,2020/03/10 23:15:26
Pakistán,16,0,1,15,0,2020/03/10 23:15:26
Ecuador,15,0,0,15,0,2020/03/10 23:15:26
Georgia,15,0,0,15,0,2020/03/10 23:15:26
Croacia,14,0,0,14,0,2020/03/10 23:15:26
Chile,13,0,0,13,0,2020/03/10 23:15:26
Estonia,12,0,0,12,0,2020/03/10 23:15:26
Azerbaiyán,11,0,0,11,0,2020/03/10 23:15:26
Perú,11,0,0,11,0,2020/03/10 23:15:26
Albania,10,0,0,10,0,2020/03/10 23:15:26
Macao,10,0,10,0,0,2020/03/10 23:15:26
Rusia,10,0,3,7,0,2020/03/10 23:15:26
Bielorrusia,9,0,3,6,0,2020/03/10 23:15:26
Costa Rica,9,0,0,9,0,2020/03/10 23:15:26
Hungría,9,0,0,9,0,2020/03/10 23:15:26
Letonia,8,0,1,7,0,2020/03/10 23:15:26
Eslovaquia,7,0,0,7,0,2020/03/10 23:15:26
Macedonia del Norte,7,0,0,7,0,2020/03/10 23:15:26
México,7,0,4,3,0,2020/03/10 23:15:26
Sudáfrica,7,0,0,7,0,2020/03/10 23:15:26
Maldivas,6,0,0,6,0,2020/03/10 23:15:26
Afganistán,5,0,0,5,0,2020/03/10 23:15:26
Bosnia y Herzegovina,5,0,0,5,0,2020/03/10 23:15:26
Guayana Francesa,5,0,0,5,0,2020/03/10 23:15:26
Luxemburgo,5,0,0,5,0,2020/03/10 23:15:26
Malta,5,0,0,5,0,2020/03/10 23:15:26
Nueva Zelanda,5,0,0,5,0,2020/03/10 23:15:26
República Dominicana,5,0,0,5,0,2020/03/10 23:15:26
Serbia,5,0,0,5,0,2020/03/10 23:15:26
Túnez,5,0,0,5,0,2020/03/10 23:15:26
Bulgaria,4,0,0,4,0,2020/03/10 23:15:26
Senegal,4,0,1,3,0,2020/03/10 23:15:26
Bangladesh,3,0,0,3,0,2020/03/10 23:15:26
Chipre,3,0,0,3,0,2020/03/10 23:15:26
Colombia,3,0,0,3,0,2020/03/10 23:15:26
Marruecos,3,1,0,2,33.33,2020/03/10 23:15:26
Moldovia,3,0,0,3,0,2020/03/10 23:15:26
Camboya,2,0,1,1,0,2020/03/10 23:15:26
Camerún,2,0,0,2,0,2020/03/10 23:15:26
Islas Faroe,2,0,0,2,0,2020/03/10 23:15:26
Martinica,2,0,0,2,0,2020/03/10 23:15:26
Nigeria,2,0,0,2,0,2020/03/10 23:15:26
Sint Maarten,2,0,0,2,0,2020/03/10 23:15:26
Andorra,1,0,0,1,0,2020/03/10 23:15:26
Armenia,1,0,0,1,0,2020/03/10 23:15:26
Brunei,1,0,0,1,0,2020/03/10 23:15:26
Burkina Faso,1,0,0,1,0,2020/03/10 23:15:26
Bután,1,0,0,1,0,2020/03/10 23:15:26
Ciudad del Vaticano,1,0,0,1,0,2020/03/10 23:15:26
Gibraltar,1,0,1,0,0,2020/03/10 23:15:26
Islas del Canal,1,0,0,1,0,2020/03/10 23:15:26
Jordania,1,0,0,1,0,2020/03/10 23:15:26
Liechtenstein,1,0,0,1,0,2020/03/10 23:15:26
Lituania,1,0,0,1,0,2020/03/10 23:15:26
Mónaco,1,0,0,1,0,2020/03/10 23:15:26
Mongolia,1,0,0,1,0,2020/03/10 23:15:26
Nepal,1,0,1,0,0,2020/03/10 23:15:26
Panamá,1,0,0,1,0,2020/03/10 23:15:26
Paraguay,1,0,0,1,0,2020/03/10 23:15:26
San Bartolomé,1,0,0,1,0,2020/03/10 23:15:26
Sri Lanka,1,0,1,0,0,2020/03/10 23:15:26
Togo,1,0,0,1,0,2020/03/10 23:15:26
Ucrania,1,0,0,1,0,2020/03/10 23:15:26
