pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,81033,3217,67910,9906,3.97,2020-03-17T00:39:21Z
Italia,27980,2158,2749,23073,7.71,2020-03-17T00:39:21Z
Irán,14991,853,4590,9548,5.69,2020-03-17T00:39:21Z
España,9942,342,530,9070,3.44,2020-03-17T00:39:21Z
Corea del Sur,8236,75,1137,7024,0.91,2020-03-17T00:39:21Z
Alemania,7272,17,67,7188,0.23,2020-03-17T00:39:21Z
Francia,6650,148,12,6490,2.23,2020-03-17T00:39:21Z
EEUU,4585,85,17,4483,1.85,2020-03-17T00:39:21Z
Suiza,2200,14,4,2182,0.64,2020-03-17T00:39:21Z
Reino Unido,1551,56,21,1474,3.61,2020-03-17T00:39:21Z
Holanda,1414,24,2,1388,1.7,2020-03-17T00:39:21Z
Noruega,1333,3,1,1329,0.23,2020-03-17T00:39:21Z
Suecia,1103,6,1,1096,0.54,2020-03-17T00:39:21Z
Bélgica,1058,5,1,1052,0.47,2020-03-17T00:39:21Z
Austria,1018,3,6,1009,0.29,2020-03-17T00:39:21Z
Dinamarca,932,3,1,928,0.32,2020-03-17T00:39:21Z
Japón,825,27,144,654,3.27,2020-03-17T00:39:21Z
Crucero Diamond Princess,743,7,325,411,0.94,2020-03-17T00:39:21Z
Malasia,566,0,42,524,0,2020-03-17T00:39:21Z
Qatar,439,0,4,435,0,2020-03-17T00:39:21Z
Canadá,415,4,9,402,0.96,2020-03-17T00:39:21Z
Australia,377,3,23,351,0.8,2020-03-17T00:39:21Z
Grecia,331,4,8,319,1.21,2020-03-17T00:39:21Z
Portugal,331,0,3,328,0,2020-03-17T00:39:21Z
República Checa,298,0,3,295,0,2020-03-17T00:39:21Z
Finlandia,277,0,10,267,0,2020-03-17T00:39:21Z
Israel,255,0,4,251,0,2020-03-17T00:39:21Z
Eslovenia,253,1,0,252,0.4,2020-03-17T00:39:21Z
Singapur,243,0,109,134,0,2020-03-17T00:39:21Z
Baréin,214,1,77,136,0.47,2020-03-17T00:39:21Z
Estonia,205,0,1,204,0,2020-03-17T00:39:21Z
Brasil,200,0,1,199,0,2020-03-17T00:39:21Z
Islandia,180,0,0,180,0,2020-03-17T00:39:21Z
Polonia,177,4,13,160,2.26,2020-03-17T00:39:21Z
Irlanda,169,2,0,167,1.18,2020-03-17T00:39:21Z
Rumania,158,0,9,149,0,2020-03-17T00:39:21Z
Chile,155,0,0,155,0,2020-03-17T00:39:21Z
Egipto,150,2,27,121,1.33,2020-03-17T00:39:21Z
Tailandia,147,1,35,111,0.68,2020-03-17T00:39:21Z
Filipinas,142,12,2,128,8.45,2020-03-17T00:39:21Z
Pakistán,136,0,2,134,0,2020-03-17T00:39:21Z
Indonesia,134,5,8,121,3.73,2020-03-17T00:39:21Z
Iraq,124,10,26,88,8.06,2020-03-17T00:39:21Z
Kuwait,123,0,9,114,0,2020-03-17T00:39:21Z
India,119,2,13,104,1.68,2020-03-17T00:39:21Z
Arabia Saudita,118,0,2,116,0,2020-03-17T00:39:21Z
San Marino,109,7,4,98,6.42,2020-03-17T00:39:21Z
Líbano,99,3,1,95,3.03,2020-03-17T00:39:21Z
EAU,98,0,23,75,0,2020-03-17T00:39:21Z
Rusia,90,0,8,82,0,2020-03-17T00:39:21Z
Perú,86,0,0,86,0,2020-03-17T00:39:21Z
Luxemburgo,77,1,0,76,1.3,2020-03-17T00:39:21Z
Taiwán,67,1,20,46,1.49,2020-03-17T00:39:21Z
Eslovaquia,63,0,0,63,0,2020-03-17T00:39:21Z
Sudáfrica,62,0,0,62,0,2020-03-17T00:39:21Z
Vietnam,61,0,16,45,0,2020-03-17T00:39:21Z
Croacia,57,0,2,55,0,2020-03-17T00:39:21Z
Argentina,56,2,1,53,3.57,2020-03-17T00:39:21Z
Panamá,55,1,0,54,1.82,2020-03-17T00:39:21Z
Serbia,55,0,1,54,0,2020-03-17T00:39:21Z
Argelia,54,4,12,38,7.41,2020-03-17T00:39:21Z
Brunei,54,0,0,54,0,2020-03-17T00:39:21Z
Colombia,54,0,0,54,0,2020-03-17T00:39:21Z
México,53,0,4,49,0,2020-03-17T00:39:21Z
Armenia,52,0,0,52,0,2020-03-17T00:39:21Z
Bulgaria,52,2,0,50,3.85,2020-03-17T00:39:21Z
Albania,51,1,0,50,1.96,2020-03-17T00:39:21Z
Hungría,39,1,1,37,2.56,2020-03-17T00:39:21Z
Ecuador,37,2,0,35,5.41,2020-03-17T00:39:21Z
Bielorrusia,36,0,3,33,0,2020-03-17T00:39:21Z
Costa Rica,35,0,0,35,0,2020-03-17T00:39:21Z
Letonia,34,0,1,33,0,2020-03-17T00:39:21Z
Chipre,33,0,0,33,0,2020-03-17T00:39:21Z
Georgia,33,0,1,32,0,2020-03-17T00:39:21Z
Malta,30,0,2,28,0,2020-03-17T00:39:21Z
Marruecos,29,1,1,27,3.45,2020-03-17T00:39:21Z
Sri Lanka,28,0,1,27,0,2020-03-17T00:39:21Z
Bosnia y Herzegovina,25,0,0,25,0,2020-03-17T00:39:21Z
Senegal,24,0,2,22,0,2020-03-17T00:39:21Z
Moldova,23,0,0,23,0,2020-03-17T00:39:21Z
Omán,22,0,9,13,0,2020-03-17T00:39:21Z
Afganistán,21,0,1,20,0,2020-03-17T00:39:21Z
Túnez,20,0,0,20,0,2020-03-17T00:39:21Z
Macedonia del Norte,18,0,1,17,0,2020-03-17T00:39:21Z
Turquía,18,0,0,18,0,2020-03-17T00:39:21Z
Jordania,17,0,1,16,0,2020-03-17T00:39:21Z
Lituania,17,0,1,16,0,2020-03-17T00:39:21Z
Venezuela,17,0,0,17,0,2020-03-17T00:39:21Z
Azerbaiyán,15,1,6,8,6.67,2020-03-17T00:39:21Z
Burkina Faso,15,0,0,15,0,2020-03-17T00:39:21Z
Martinica,15,1,0,14,6.67,2020-03-17T00:39:21Z
Maldivas,13,0,0,13,0,2020-03-17T00:39:21Z
Bolivia,11,0,0,11,0,2020-03-17T00:39:21Z
Guayana Francesa,11,0,0,11,0,2020-03-17T00:39:21Z
República Dominicana,11,0,0,11,0,2020-03-17T00:39:21Z
Jamaica,10,0,2,8,0,2020-03-17T00:39:21Z
Kazajistán,10,0,0,10,0,2020-03-17T00:39:21Z
Reunion,9,0,0,9,0,2020-03-17T00:39:21Z
Bangladesh,8,0,2,6,0,2020-03-17T00:39:21Z
Nueva Zelanda,8,0,0,8,0,2020-03-17T00:39:21Z
Paraguay,8,0,0,8,0,2020-03-17T00:39:21Z
Uruguay,8,0,0,8,0,2020-03-17T00:39:21Z
Camboya,7,0,1,6,0,2020-03-17T00:39:21Z
Mónaco,7,0,0,7,0,2020-03-17T00:39:21Z
Ucrania,7,1,0,6,14.29,2020-03-17T00:39:21Z
Ghana,6,0,0,6,0,2020-03-17T00:39:21Z
Guadalupe,6,0,0,6,0,2020-03-17T00:39:21Z
Honduras,6,0,0,6,0,2020-03-17T00:39:21Z
