pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,80699,3097,57320,20282,3.84,2020/03/08 22:59:56
Italia,7375,366,622,6387,4.96,2020/03/08 22:59:56
Corea del Sur,7314,50,118,7146,0.68,2020/03/08 22:59:56
Irán,6566,194,2134,4238,2.95,2020/03/08 22:59:56
Francia,1126,19,12,1095,1.69,2020/03/08 22:59:56
Alemania,1040,0,18,1022,0,2020/03/08 22:59:56
Crucero Diamond Princess,696,6,40,650,0.86,2020/03/08 22:59:56
España,673,17,30,626,2.53,2020/03/08 22:59:56
EEUU,537,21,8,508,3.91,2020/03/08 22:59:56
Japón,502,6,76,420,1.2,2020/03/08 22:59:56
Suiza,337,2,3,332,0.59,2020/03/08 22:59:56
Reino Unido,273,3,18,252,1.1,2020/03/08 22:59:56
Holanda,265,3,0,262,1.13,2020/03/08 22:59:56
Suecia,203,0,0,203,0,2020/03/08 22:59:56
Bélgica,200,0,1,199,0,2020/03/08 22:59:56
Noruega,176,0,0,176,0,2020/03/08 22:59:56
Singapur,150,0,78,72,0,2020/03/08 22:59:56
Hong Kong,114,3,58,53,2.63,2020/03/08 22:59:56
Austria,104,0,0,104,0,2020/03/08 22:59:56
Malasia,99,0,24,75,0,2020/03/08 22:59:56
Baréin,85,0,4,81,0,2020/03/08 22:59:56
Australia,76,4,21,51,5.26,2020/03/08 22:59:56
Grecia,73,0,0,73,0,2020/03/08 22:59:56
Canadá,64,0,8,56,0,2020/03/08 22:59:56
Kuwait,64,0,1,63,0,2020/03/08 22:59:56
Iraq,60,6,0,54,10,2020/03/08 22:59:56
Islandia,50,0,0,50,0,2020/03/08 22:59:56
Tailandia,50,1,31,18,2,2020/03/08 22:59:56
Egipto,49,1,1,47,2.04,2020/03/08 22:59:56
EAU,45,0,7,38,0,2020/03/08 22:59:56
Taiwán,45,1,13,31,2.22,2020/03/08 22:59:56
India,39,0,3,36,0,2020/03/08 22:59:56
Israel,39,0,2,37,0,2020/03/08 22:59:56
San Marino,36,1,0,35,2.78,2020/03/08 22:59:56
Dinamarca,35,0,1,34,0,2020/03/08 22:59:56
Líbano,32,0,1,31,0,2020/03/08 22:59:56
República Checa,31,0,0,31,0,2020/03/08 22:59:56
Portugal,30,0,0,30,0,2020/03/08 22:59:56
Vietnam,30,0,16,14,0,2020/03/08 22:59:56
Finlandia,23,0,1,22,0,2020/03/08 22:59:56
Palestina,22,0,0,22,0,2020/03/08 22:59:56
Republic of Ireland,21,0,0,21,0,2020/03/08 22:59:56
Brasil,20,0,0,20,0,2020/03/08 22:59:56
Argelia,19,0,0,19,0,2020/03/08 22:59:56
Irlanda,19,0,0,19,0,2020/03/08 22:59:56
Rusia,17,0,3,14,0,2020/03/08 22:59:56
Eslovenia,16,0,0,16,0,2020/03/08 22:59:56
