pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,81305,3259,71857,6189,4.01,2020-03-21
Italia,53578,4825,6072,42681,9.01,2020-03-21
EEUU,25444,307,171,24966,1.21,2020-03-21
España,25374,1375,2125,21874,5.42,2020-03-21
Alemania,22213,84,233,21896,0.38,2020-03-21
Irán,20610,1556,7635,11419,7.55,2020-03-21
Francia,14308,562,12,13734,3.93,2020-03-21
Corea del Sur,8799,102,1540,7157,1.16,2020-03-21
Suiza,6575,75,15,6485,1.14,2020-03-21
Reino Unido,5067,234,67,4766,4.62,2020-03-21
Holanda,3640,137,2,3501,3.76,2020-03-21
Bélgica,2815,67,263,2485,2.38,2020-03-21
Austria,2814,8,9,2797,0.28,2020-03-21
Noruega,2118,7,1,2110,0.33,2020-03-21
Suecia,1763,20,16,1727,1.13,2020-03-21
Dinamarca,1420,13,1,1406,0.92,2020-03-21
Portugal,1280,12,5,1263,0.94,2020-03-21
Canadá,1278,19,10,1249,1.49,2020-03-21
Malasia,1183,4,114,1065,0.34,2020-03-21
Australia,1071,7,26,1038,0.65,2020-03-21
Brasil,1021,15,2,1004,1.47,2020-03-21
Japón,1007,35,232,740,3.48,2020-03-21
República Checa,995,0,6,989,0,2020-03-21
Israel,883,1,36,846,0.11,2020-03-21
Irlanda,785,3,5,777,0.38,2020-03-21
Crucero Diamond Princess,761,8,325,428,1.05,2020-03-21
Pakistán,730,3,13,714,0.41,2020-03-21
Luxemburgo,670,8,0,662,1.19,2020-03-21
Turquía,670,9,0,661,1.34,2020-03-21
Chile,537,0,6,531,0,2020-03-21
Polonia,536,5,1,530,0.93,2020-03-21
Grecia,530,13,19,498,2.45,2020-03-21
Finlandia,523,1,10,512,0.19,2020-03-21
Ecuador,506,7,3,496,1.38,2020-03-21
Qatar,481,0,27,454,0,2020-03-21
Islandia,473,1,22,450,0.21,2020-03-21
Indonesia,450,38,15,397,8.44,2020-03-21
Singapur,432,2,140,290,0.46,2020-03-21
Tailandia,411,1,42,368,0.24,2020-03-21
Arabia Saudita,392,0,16,376,0,2020-03-21
Eslovenia,383,1,0,382,0.26,2020-03-21
Rumania,367,0,52,315,0,2020-03-21
India,330,4,23,303,1.21,2020-03-21
Perú,318,5,1,312,1.57,2020-03-21
Filipinas,307,19,13,275,6.19,2020-03-21
Estonia,306,0,1,305,0,2020-03-21
Rusia,306,1,12,293,0.33,2020-03-21
Baréin,305,1,125,179,0.33,2020-03-21
Egipto,294,10,41,243,3.4,2020-03-21
Sudáfrica,240,0,0,240,0,2020-03-21
Iraq,214,17,51,146,7.94,2020-03-21
Croacia,206,1,5,200,0.49,2020-03-21
México,203,2,4,197,0.99,2020-03-21
Panamá,200,1,0,199,0.5,2020-03-21
Colombia,196,0,1,195,0,2020-03-21
Líbano,187,4,4,179,2.14,2020-03-21
Eslovaquia,178,1,0,177,0.56,2020-03-21
Kuwait,176,0,27,149,0,2020-03-21
Serbia,171,1,1,169,0.58,2020-03-21
Bulgaria,163,3,3,157,1.84,2020-03-21
Armenia,160,0,1,159,0,2020-03-21
Argentina,158,4,3,151,2.53,2020-03-21
EAU,153,2,38,113,1.31,2020-03-21
Taiwán,153,2,28,123,1.31,2020-03-21
San Marino,144,20,4,120,13.89,2020-03-21
Argelia,139,15,32,92,10.79,2020-03-21
Letonia,124,0,1,123,0,2020-03-21
Costa Rica,117,2,2,113,1.71,2020-03-21
República Dominicana,112,2,0,110,1.79,2020-03-21
Uruguay,110,0,0,110,0,2020-03-21
Hungría,103,4,7,92,3.88,2020-03-21
Marruecos,96,3,3,90,3.12,2020-03-21
Vietnam,94,0,17,77,0,2020-03-21
Bosnia y Herzegovina,93,1,2,90,1.08,2020-03-21
Andorra,88,0,1,87,0,2020-03-21
Jordania,85,0,1,84,0,2020-03-21
Macedonia del Norte,85,0,1,84,0,2020-03-21
Chipre,84,0,0,84,0,2020-03-21
Brunei,83,0,2,81,0,2020-03-21
Lituania,83,1,1,81,1.2,2020-03-21
Moldova,80,1,1,78,1.25,2020-03-21
Sri Lanka,77,0,1,76,0,2020-03-21
Albania,76,2,2,72,2.63,2020-03-21
Bielorrusia,76,0,15,61,0,2020-03-21
Malta,73,0,2,71,0,2020-03-21
Venezuela,70,0,0,70,0,2020-03-21
Burkina Faso,64,2,5,57,3.12,2020-03-21
Túnez,60,1,0,59,1.67,2020-03-21
Azerbaiyán,53,1,11,41,1.89,2020-03-21
Camboya,53,0,1,52,0,2020-03-21
Guadalupe,53,0,0,53,0,2020-03-21
Kazajistán,53,0,0,53,0,2020-03-21
Nueva Zelanda,52,0,0,52,0,2020-03-21
Omán,52,0,12,40,0,2020-03-21
Georgia,49,0,1,48,0,2020-03-21
Trinidad y Tobago,49,0,1,48,0,2020-03-21
Senegal,47,0,5,42,0,2020-03-21
Ucrania,47,3,1,43,6.38,2020-03-21
Reunion,45,0,0,45,0,2020-03-21
Uzbekistán,43,0,0,43,0,2020-03-21
Liechtenstein,37,0,0,37,0,2020-03-21
Martinica,32,1,0,31,3.12,2020-03-21
Camerún,27,0,0,27,0,2020-03-21
Bangladesh,25,2,3,20,8,2020-03-21
Afganistán,24,0,1,23,0,2020-03-21
Honduras,24,0,0,24,0,2020-03-21
Rep. Dem. del Congo,23,1,0,22,4.35,2020-03-21
Nigeria,22,0,1,21,0,2020-03-21
Cuba,21,1,0,20,4.76,2020-03-21
Bolivia,19,0,0,19,0,2020-03-21
Ghana,19,1,0,18,5.26,2020-03-21
Guayana Francesa,18,0,6,12,0,2020-03-21
Paraguay,18,1,0,17,5.56,2020-03-21
