pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,80271,2981,49955,27335,3.71,2020/03/04 19:33:59
Corea del Sur,5621,35,41,5545,0.62,2020/03/04 19:33:59
Italia,3089,107,276,2706,3.46,2020/03/04 19:33:59
Irán,2922,92,552,2278,3.15,2020/03/04 19:33:59
Crucero Diamond Princess,706,6,10,690,0.85,2020/03/04 19:33:59
Japón,331,6,43,282,1.81,2020/03/04 19:33:59
Francia,285,4,12,269,1.4,2020/03/04 19:33:59
Alemania,262,0,16,246,0,2020/03/04 19:33:59
España,222,2,2,218,0.9,2020/03/04 19:33:59
EEUU,153,11,8,134,7.19,2020/03/04 19:33:59
Singapur,110,0,78,32,0,2020/03/04 19:33:59
Hong Kong,105,2,37,66,1.9,2020/03/04 19:33:59
Suiza,90,0,3,87,0,2020/03/04 19:33:59
Reino Unido,85,0,8,77,0,2020/03/04 19:33:59
Kuwait,56,0,0,56,0,2020/03/04 19:33:59
Noruega,56,0,0,56,0,2020/03/04 19:33:59
Australia,52,2,11,39,3.85,2020/03/04 19:33:59
Baréin,52,0,0,52,0,2020/03/04 19:33:59
Malasia,50,0,22,28,0,2020/03/04 19:33:59
Tailandia,43,1,31,11,2.33,2020/03/04 19:33:59
Taiwán,42,1,12,29,2.38,2020/03/04 19:33:59
Holanda,38,0,0,38,0,2020/03/04 19:33:59
Iraq,35,2,0,33,5.71,2020/03/04 19:33:59
Suecia,35,0,0,35,0,2020/03/04 19:33:59
Canadá,33,0,6,27,0,2020/03/04 19:33:59
Austria,29,0,0,29,0,2020/03/04 19:33:59
India,28,0,3,25,0,2020/03/04 19:33:59
Emiratos Árabes Unidos,27,0,5,22,0,2020/03/04 19:33:59
Islandia,26,0,0,26,0,2020/03/04 19:33:59
Bélgica,23,0,1,22,0,2020/03/04 19:33:59
San Marino,16,1,0,15,6.25,2020/03/04 19:33:59
Vietnam,16,0,16,0,0,2020/03/04 19:33:59
Israel,15,0,1,14,0,2020/03/04 19:33:59
Omán,15,0,2,13,0,2020/03/04 19:33:59
Líbano,13,0,1,12,0,2020/03/04 19:33:59
Argelia,12,0,0,12,0,2020/03/04 19:33:59
Croacia,10,0,0,10,0,2020/03/04 19:33:59
Dinamarca,10,0,0,10,0,2020/03/04 19:33:59
Ecuador,10,0,0,10,0,2020/03/04 19:33:59
Macao,10,0,9,1,0,2020/03/04 19:33:59
Grecia,9,0,0,9,0,2020/03/04 19:33:59
Qatar,8,0,0,8,0,2020/03/04 19:33:59
República Checa,8,0,0,8,0,2020/03/04 19:33:59
Bielorrusia,6,0,0,6,0,2020/03/04 19:33:59
Finlandia,6,0,1,5,0,2020/03/04 19:33:59
Irlanda,6,0,0,6,0,2020/03/04 19:33:59
México,5,0,1,4,0,2020/03/04 19:33:59
Pakistán,5,0,0,5,0,2020/03/04 19:33:59
Portugal,5,0,0,5,0,2020/03/04 19:33:59
Brasil,4,0,0,4,0,2020/03/04 19:33:59
Rumania,4,0,1,3,0,2020/03/04 19:33:59
Senegal,4,0,0,4,0,2020/03/04 19:33:59
Azerbaiyán,3,0,0,3,0,2020/03/04 19:33:59
Filipinas,3,1,1,1,33.33,2020/03/04 19:33:59
Georgia,3,0,0,3,0,2020/03/04 19:33:59
Nueva Zelanda,3,0,0,3,0,2020/03/04 19:33:59
Rusia,3,0,2,1,0,2020/03/04 19:33:59
Saint Barthelemy,3,0,0,3,0,2020/03/04 19:33:59
Egipto,2,0,1,1,0,2020/03/04 19:33:59
Estonia,2,0,0,2,0,2020/03/04 19:33:59
Hungría,2,0,0,2,0,2020/03/04 19:33:59
Indonesia,2,0,0,2,0,2020/03/04 19:33:59
Afganistán,1,0,0,1,0,2020/03/04 19:33:59
Andorra,1,0,0,1,0,2020/03/04 19:33:59
Arabia Saudita,1,0,0,1,0,2020/03/04 19:33:59
Argentina,1,0,0,1,0,2020/03/04 19:33:59
Armenia,1,0,0,1,0,2020/03/04 19:33:59
Camboya,1,0,1,0,0,2020/03/04 19:33:59
Chile,1,0,0,1,0,2020/03/04 19:33:59
Gibraltar,1,0,0,1,0,2020/03/04 19:33:59
Islas Faroe,1,0,0,1,0,2020/03/04 19:33:59
Jordan,1,0,0,1,0,2020/03/04 19:33:59
Letonia,1,0,0,1,0,2020/03/04 19:33:59
Liechtenstein,1,0,0,1,0,2020/03/04 19:33:59
Lituania,1,0,0,1,0,2020/03/04 19:33:59
Luxemburgo,1,0,0,1,0,2020/03/04 19:33:59
Macedonia del Norte,1,0,0,1,0,2020/03/04 19:33:59
Marruecos,1,0,0,1,0,2020/03/04 19:33:59
Monaco,1,0,0,1,0,2020/03/04 19:33:59
Nepal,1,0,1,0,0,2020/03/04 19:33:59
Nigeria,1,0,0,1,0,2020/03/04 19:33:59
Poland,1,0,0,1,0,2020/03/04 19:33:59
República Dominicana,1,0,0,1,0,2020/03/04 19:33:59
Sri Lanka,1,0,1,0,0,2020/03/04 19:33:59
Tunisia,1,0,0,1,0,2020/03/04 19:33:59
Ucrania,1,0,0,1,0,2020/03/04 19:33:59
