pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,80735,3120,58735,18880,3.86,2020/03/09 20:12:43
Italia,9172,463,724,7985,5.05,2020/03/09 20:12:43
Corea del Sur,7478,53,118,7307,0.71,2020/03/09 20:12:43
Irán,7161,237,2394,4530,3.31,2020/03/09 20:12:43
Francia,1209,19,12,1178,1.57,2020/03/09 20:12:43
Alemania,1176,2,18,1156,0.17,2020/03/09 20:12:43
España,1073,28,32,1013,2.61,2020/03/09 20:12:43
Crucero Diamond Princess,696,6,40,650,0.86,2020/03/09 20:12:43
EEUU,605,22,8,575,3.64,2020/03/09 20:12:43
Japón,511,17,76,418,3.33,2020/03/09 20:12:43
Suiza,374,2,3,369,0.53,2020/03/09 20:12:43
Holanda,321,3,0,318,0.93,2020/03/09 20:12:43
Reino Unido,321,4,18,299,1.25,2020/03/09 20:12:43
Suecia,248,0,1,247,0,2020/03/09 20:12:43
Bélgica,239,0,1,238,0,2020/03/09 20:12:43
Noruega,205,0,1,204,0,2020/03/09 20:12:43
Singapur,150,0,78,72,0,2020/03/09 20:12:43
Austria,131,0,2,129,0,2020/03/09 20:12:43
Malasia,117,0,24,93,0,2020/03/09 20:12:43
Hong Kong,115,3,59,53,2.61,2020/03/09 20:12:43
Baréin,95,0,14,81,0,2020/03/09 20:12:43
Australia,91,4,21,66,4.4,2020/03/09 20:12:43
Dinamarca,90,0,1,89,0,2020/03/09 20:12:43
Canadá,76,1,8,67,1.32,2020/03/09 20:12:43
Grecia,73,0,0,73,0,2020/03/09 20:12:43
Kuwait,64,0,1,63,0,2020/03/09 20:12:43
Iraq,60,6,9,45,10,2020/03/09 20:12:43
Islandia,58,0,0,58,0,2020/03/09 20:12:43
Egipto,55,1,12,42,1.82,2020/03/09 20:12:43
Tailandia,50,1,31,18,2,2020/03/09 20:12:43
EAU,45,0,7,38,0,2020/03/09 20:12:43
Taiwán,45,1,15,29,2.22,2020/03/09 20:12:43
India,43,0,3,40,0,2020/03/09 20:12:43
Israel,39,0,2,37,0,2020/03/09 20:12:43
San Marino,36,1,0,35,2.78,2020/03/09 20:12:43
Líbano,32,0,1,31,0,2020/03/09 20:12:43
República Checa,31,0,0,31,0,2020/03/09 20:12:43
Finlandia,30,0,1,29,0,2020/03/09 20:12:43
Portugal,30,0,0,30,0,2020/03/09 20:12:43
Vietnam,30,0,16,14,0,2020/03/09 20:12:43
Brasil,25,0,0,25,0,2020/03/09 20:12:43
Palestina,22,0,0,22,0,2020/03/09 20:12:43
Irlanda,21,0,0,21,0,2020/03/09 20:12:43
Argelia,20,0,0,20,0,2020/03/09 20:12:43
Filipinas,20,1,1,18,5,2020/03/09 20:12:43
Indonesia,19,0,0,19,0,2020/03/09 20:12:43
Qatar,18,0,0,18,0,2020/03/09 20:12:43
Rusia,17,0,3,14,0,2020/03/09 20:12:43
Eslovenia,16,0,0,16,0,2020/03/09 20:12:43
Omán,16,0,2,14,0,2020/03/09 20:12:43
Polonia,16,0,0,16,0,2020/03/09 20:12:43
Arabia Saudita,15,0,0,15,0,2020/03/09 20:12:43
Ecuador,15,0,0,15,0,2020/03/09 20:12:43
Georgia,15,0,0,15,0,2020/03/09 20:12:43
Rumania,15,0,3,12,0,2020/03/09 20:12:43
Argentina,12,1,0,11,8.33,2020/03/09 20:12:43
Croacia,12,0,0,12,0,2020/03/09 20:12:43
Estonia,10,0,0,10,0,2020/03/09 20:12:43
Macao,10,0,10,0,0,2020/03/09 20:12:43
Azerbaiyán,9,0,0,9,0,2020/03/09 20:12:43
Costa Rica,9,0,0,9,0,2020/03/09 20:12:43
Hungría,9,0,0,9,0,2020/03/09 20:12:43
