pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,80573,3042,53888,23643,3.78,2020/03/06 21:14:47
Corea del Sur,6593,42,135,6416,0.64,2020/03/06 21:14:47
Irán,4747,124,913,3710,2.61,2020/03/06 21:14:47
Italia,4636,197,523,3916,4.25,2020/03/06 21:14:47
Crucero Diamond Princess,696,6,40,650,0.86,2020/03/06 21:14:47
Alemania,670,0,17,653,0,2020/03/06 21:14:47
Francia,653,9,12,632,1.38,2020/03/06 21:14:47
Japón,420,6,46,368,1.43,2020/03/06 21:14:47
España,400,5,2,393,1.25,2020/03/06 21:14:47
EEUU,278,14,8,256,5.04,2020/03/06 21:14:47
Suiza,214,1,3,210,0.47,2020/03/06 21:14:47
Reino Unido,163,2,8,153,1.23,2020/03/06 21:14:47
Singapur,130,0,78,52,0,2020/03/06 21:14:47
Holanda,128,1,0,127,0.78,2020/03/06 21:14:47
Bélgica,109,0,1,108,0,2020/03/06 21:14:47
Noruega,108,0,0,108,0,2020/03/06 21:14:47
Hong Kong,107,2,46,59,1.87,2020/03/06 21:14:47
Suecia,101,0,0,101,0,2020/03/06 21:14:47
Malasia,83,0,22,61,0,2020/03/06 21:14:47
Australia,60,2,21,37,3.33,2020/03/06 21:14:47
Baréin,60,0,4,56,0,2020/03/06 21:14:47
Kuwait,58,0,0,58,0,2020/03/06 21:14:47
Austria,55,0,0,55,0,2020/03/06 21:14:47
Canadá,49,0,6,43,0,2020/03/06 21:14:47
Tailandia,48,1,31,16,2.08,2020/03/06 21:14:47
Grecia,45,0,0,45,0,2020/03/06 21:14:47
Taiwán,45,1,12,32,2.22,2020/03/06 21:14:47
Islandia,43,0,0,43,0,2020/03/06 21:14:47
Iraq,40,3,0,37,7.5,2020/03/06 21:14:47
India,31,0,3,28,0,2020/03/06 21:14:47
Emiratos Árabes Unidos,29,0,5,24,0,2020/03/06 21:14:47
Dinamarca,23,0,1,22,0,2020/03/06 21:14:47
Líbano,22,0,1,21,0,2020/03/06 21:14:47
Israel,21,0,2,19,0,2020/03/06 21:14:47
San Marino,21,1,0,20,4.76,2020/03/06 21:14:47
Irlanda,18,0,0,18,0,2020/03/06 21:14:47
República Checa,18,0,0,18,0,2020/03/06 21:14:47
Argelia,17,0,0,17,0,2020/03/06 21:14:47
Omán,16,0,2,14,0,2020/03/06 21:14:47
Palestina,16,0,0,16,0,2020/03/06 21:14:47
Vietnam,16,0,16,0,0,2020/03/06 21:14:47
Egipto,15,0,1,14,0,2020/03/06 21:14:47
Finlandia,15,0,1,14,0,2020/03/06 21:14:47
Brasil,13,0,0,13,0,2020/03/06 21:14:47
Ecuador,13,0,0,13,0,2020/03/06 21:14:47
Portugal,13,0,0,13,0,2020/03/06 21:14:47
Rusia,13,0,2,11,0,2020/03/06 21:14:47
Croacia,11,0,0,11,0,2020/03/06 21:14:47
Estonia,10,0,0,10,0,2020/03/06 21:14:47
Macao,10,0,10,0,0,2020/03/06 21:14:47
Rumania,9,0,1,8,0,2020/03/06 21:14:47
Qatar,8,0,0,8,0,2020/03/06 21:14:47
Eslovenia,7,0,0,7,0,2020/03/06 21:14:47
Azerbaiyán,6,0,0,6,0,2020/03/06 21:14:47
Bielorrusia,6,0,0,6,0,2020/03/06 21:14:47
México,6,0,1,5,0,2020/03/06 21:14:47
Pakistán,6,0,0,6,0,2020/03/06 21:14:47
Arabia Saudita,5,0,0,5,0,2020/03/06 21:14:47
Filipinas,5,1,1,3,20,2020/03/06 21:14:47
Polonia,5,0,0,5,0,2020/03/06 21:14:47
Chile,4,0,0,4,0,2020/03/06 21:14:47
Georgia,4,0,0,4,0,2020/03/06 21:14:47
Indonesia,4,0,0,4,0,2020/03/06 21:14:47
Nueva Zelanda,4,0,0,4,0,2020/03/06 21:14:47
Senegal,4,0,0,4,0,2020/03/06 21:14:47
Macedonia del Norte,3,0,0,3,0,2020/03/06 21:14:47
San Bartolomé,3,0,0,3,0,2020/03/06 21:14:47
Argentina,2,0,0,2,0,2020/03/06 21:14:47
Bosnia y Herzegovina,2,0,0,2,0,2020/03/06 21:14:47
Hungría,2,0,0,2,0,2020/03/06 21:14:47
Luxemburgo,2,0,0,2,0,2020/03/06 21:14:47
Marruecos,2,0,0,2,0,2020/03/06 21:14:47
República Dominicana,2,0,0,2,0,2020/03/06 21:14:47
Afganistán,1,0,0,1,0,2020/03/06 21:14:47
Andorra,1,0,0,1,0,2020/03/06 21:14:47
Armenia,1,0,0,1,0,2020/03/06 21:14:47
Bután,1,0,0,1,0,2020/03/06 21:14:47
Camboya,1,0,1,0,0,2020/03/06 21:14:47
Cameroon,1,0,0,1,0,2020/03/06 21:14:47
Ciudad del Vaticano,1,0,0,1,0,2020/03/06 21:14:47
Colombia,1,0,0,1,0,2020/03/06 21:14:47
Costa Rica,1,0,0,1,0,2020/03/06 21:14:47
Eslovaquia,1,0,0,1,0,2020/03/06 21:14:47
Gibraltar,1,0,0,1,0,2020/03/06 21:14:47
Islas Faroe,1,0,0,1,0,2020/03/06 21:14:47
Jordania,1,0,0,1,0,2020/03/06 21:14:47
Letonia,1,0,0,1,0,2020/03/06 21:14:47
Liechtenstein,1,0,0,1,0,2020/03/06 21:14:47
Lituania,1,0,0,1,0,2020/03/06 21:14:47
Monaco,1,0,0,1,0,2020/03/06 21:14:47
Nepal,1,0,1,0,0,2020/03/06 21:14:47
Nigeria,1,0,0,1,0,2020/03/06 21:14:47
Peru,1,0,0,1,0,2020/03/06 21:14:47
